,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-12.388853144416503,-12.33218944504003,-11.59142120697108,-12.38885314441781,-12.33218944510324,-11.5914212070494
2.0,2.0,-5.698631935889841,-5.292873531533142,-4.868383755854647,-5.698631935994845,-5.29287353158759,-4.868383755926008
3.0,3.0,-9.678896743589307,-9.317170645620534,-9.17317367023483,-9.678896743597225,-9.317170645622165,-9.173173670643084
4.0,4.0,-7.782455248121064,-7.1958975718942995,-6.824883111926839,-7.782455248121576,-7.195897571897638,-6.824883113186758
5.0,5.0,-7.325233624174681,-7.24352908826653,-7.092545865896111,-7.325233624178905,-7.243529088274732,-7.0925458659276
6.0,6.0,-11.12863255912263,-10.881490572555354,-10.598516312863916,-11.128632559148315,-10.88149057263303,-10.510811687944772
7.0,7.0,-11.6721885586268,-11.484605679820973,-11.461800820786783,-11.672188558629133,-11.48460567982528,-11.461800820789758
8.0,8.0,-11.339905057840918,-11.30032597043665,-11.122690218322775,-11.089685208207829,-10.905113616449094,-10.81909803240774
9.0,9.0,-10.306711638914637,-9.451710411643568,-9.43074277042709,-10.024089508304593,-9.394651718713055,-9.31256130760859
10.0,10.0,-11.247399520827097,-10.650155838627526,-10.514474914869165,-11.247399520903876,-10.650155838629697,-10.514474915349929
11.0,11.0,-9.605560632049789,-9.439835741227833,-9.206115707508662,-9.605559513503396,-9.336727851577487,-8.948769187431399
12.0,12.0,-11.676359472908652,-11.17880247134998,-9.889631715931007,-11.676359472909704,-11.178802471350155,-9.889631716043112
13.0,13.0,-8.12570317721059,-7.518941953298755,-7.359184620299064,-8.125703177443699,-7.518941953302588,-7.359184620299067
14.0,14.0,-5.802077940264848,-5.716964378806949,-5.693801988767783,-5.802077940265297,-5.716964378842803,-5.693801988767781
15.0,15.0,-11.700015754093952,-11.253570021644279,-10.57160332303471,-10.818367275898822,-10.735852865542297,-9.945637234116091
16.0,16.0,-12.42007020695301,-12.417475514567144,-12.047814120322695,-12.341630270033745,-12.341593403559616,-12.04707436776267
17.0,17.0,-0.0019368863954703727,-1.361255552730901e-11,0.0,-1.485777936703437e-07,-5.2180482157382476e-15,0.0
18.0,18.0,-6.573308854098648,-5.62037876173249,-4.174277600966917,-5.571579922941177,-5.147226523879413,-4.027279958047932
19.0,19.0,-3.200417479100575,-3.1456262996814153,-4.8537093784245115e-06,-3.2004174791135043,-3.1456262996848214,-4.853710474202088e-06
20.0,20.0,-7.96893646395449,-7.74375283285488,-2.931394229423495,-7.809284668259033,-7.659018279257704,-0.5480028939157764
21.0,21.0,-11.13383842411915,-9.691168863277868,-9.68002348558538,-11.133838424119455,-9.691168863279326,-9.680023488484757
22.0,22.0,-5.3235471155922305,-5.314602070512746,-4.489484443301581,-5.090540683732474,-5.031010925441499,-4.256441622519247
23.0,23.0,-9.825160765282359,-9.650778064543669,-9.433816300808664,-9.815764560672102,-9.64039751375862,-9.31025902257182
24.0,24.0,-3.364003172805625,-3.045074899368319,-3.0266916728625692,-3.3640031728116133,-3.0450748993688688,-3.0266916728632887
25.0,25.0,-10.424948743292642,-9.019588796040214,-8.370040197746771,-10.363063370855313,-8.943114696078682,-8.217400391881101
26.0,26.0,-10.575229281256547,-10.380287493581552,-9.741638565623287,-10.050103797457751,-9.992642919268743,-8.94283341866768
27.0,27.0,-11.565933042366721,-11.537738595546864,-11.218723148012973,-11.225587841843096,-11.188436806420523,-10.905321663029541
28.0,28.0,-9.004433529783201,-8.943095701798589,-8.187373403223063,-9.004433529884924,-8.943095701802019,-8.187373403244028
29.0,29.0,-7.447910309145303,-7.218295438504007,-7.150989213546395,-7.405544269147117,-6.787641877301516,-6.78515132744993
30.0,30.0,-11.32763548174509,-10.900774629799319,-10.897130583220122,-11.327635481745325,-10.900774629803278,-10.897130583333608
31.0,31.0,-3.3631738884757354,-3.169777059350451,-3.089097676306928,-3.3631738884990527,-3.1697770593568526,-3.0890976763642657
32.0,32.0,-4.636012608392292,-3.9144588837435577,-3.68173773583792,-4.63601260839328,-3.914458883817848,-3.68173773583521
33.0,33.0,-7.949054925371847,-7.810861325691224,-7.778334020024382,-7.93495910264392,-7.810861325691224,-7.778849318096798
34.0,34.0,-8.69631169968329,-8.603055350739004,-8.59662436913954,-8.269469067546838,-8.261448806359937,-8.255941582735822
35.0,35.0,-8.822251748832347,-8.739885155835418,-8.535055724706705,-8.822251748835411,-8.73988515583777,-8.535055725106997
36.0,36.0,-10.839400886708233,-10.725941858315437,-9.171684556059663,-10.436575571560981,-10.435620907057324,-9.171684556064333
37.0,37.0,-4.3814654858013595,-2.073509362049279,-1.9381483819026046,-4.381465485814356,-2.0735093620680507,-1.9381483819028564
38.0,38.0,-9.201307058217049,-8.272574304284772,-7.817550437437175,-9.201307058222667,-8.27257430430668,-7.817550437653966
39.0,39.0,-10.619810042980408,-10.612981603749075,-9.936272376790019,-10.619810043019347,-10.612981603750098,-9.936272376800526
40.0,40.0,-10.786109921502248,-10.678192339048156,-9.875169633617345,-10.149996699952172,-10.092755622785617,-9.238519553299902
41.0,41.0,-3.040223515289452,0.0,0.0,-3.040223515291025,0.0,0.0
42.0,42.0,-1.1656079307295888,0.0,0.0,-1.1656079307308227,0.0,0.0
43.0,43.0,-6.916340917347871,-6.886582171964808,-6.024852317875042,-6.916340917393208,-6.886582171964841,-6.024852317880613
44.0,44.0,-10.29566077623686,-10.20910459711816,-10.044535789609478,-10.111172917869247,-9.983688798376535,-9.882709240855888
45.0,45.0,-7.2424488446545885,-6.904748317883359,-4.875590004856494,-5.77608897816451,-4.0060174069938865,-3.107514245927708e-12
46.0,46.0,-2.6070678728146124,-2.5753716264819655,0.0,-2.6070678728146377,-2.5703812307283735,0.0
47.0,47.0,-5.925714645613379,-5.538722682933844,-5.530930689423471,-5.469938157603774,-5.458841128850627,-5.456862326486693
48.0,48.0,-12.4487162784357,-11.441224083955609,-5.241597756467433,-12.321435558447927,-10.151288851938528,-4.796150294491109
49.0,49.0,-9.039201636080263,-9.001695086863363,-9.001122769018892,-8.711757392534444,-8.410586052207417,-8.40368483334713
50.0,50.0,-11.743236008029703,-11.737525088479979,-11.73236342055722,-11.74323600805054,-11.737525088497616,-11.732363420753527
51.0,51.0,-2.8672141524583137,-2.42588727002311,-2.425635791732531,-2.493158339526307,-2.2949846703828807,-2.149668135535943
52.0,52.0,-10.429777702676182,-9.766171088125217,-7.857849414125548,-9.266411234668862,-8.960247186440904,-7.511475416661684
53.0,53.0,-8.945304618220153,-8.790493121987193,-8.633003866192384,-8.421132195749895,-7.965401763479236,-7.8569405122551474
54.0,54.0,-9.864103736176853,-6.366557385257209,-5.831938620078641,-9.864103736190694,-6.36655738535915,-5.83193862008214
55.0,55.0,-11.568967476060225,-11.342019575097533,-11.318230911801578,-11.164827533489818,-10.788131689835124,-10.782105113201347
56.0,56.0,-10.616289540975782,-10.591851781709574,-10.57881015274925,-10.025541620681798,-9.951645700029703,-9.929784071537796
57.0,57.0,-10.784999836835548,-9.327093245954327,-9.271102272874208,-10.461481127791,-8.17287760602807,-8.144746921226847
58.0,58.0,-8.120724715176673,-5.873158767700637,-5.593134440013621,-8.120724715176866,-5.873158767717738,-5.593134440016083
59.0,59.0,-11.359830653121682,-11.354676009268722,-11.28673195599587,-11.251483723936019,-11.251103320204848,-11.19698311338649
60.0,60.0,-3.575538750363731,-2.7570529299283937,-1.6030173471388593,-3.5755387503755025,-2.743265832850632,-1.6030173471586369
61.0,61.0,-9.33072096058113,-9.1270758862087,-7.9058161879253595,-9.101929043230903,-8.969497670185154,-7.880113928364427
62.0,62.0,-4.602431911717242,-3.66993398691279,-0.0005202070801500226,-3.5158342204685558,-3.012100251496733,-9.906468598232521e-05
63.0,63.0,-6.225553947427484,-1.779287025276081,0.0,-5.934790583272105,-1.6691450720694943,0.0
