,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-12.476238134668085,-3.6731765392332827,-2.9658524178255905,-12.283184042524367,-3.6731765392704383,-2.953109265852019
2.0,2.0,-4.088945302930692,0.0,0.0,-4.088945302937023,0.0,0.0
3.0,3.0,-6.1673268180178455,-4.087309536516727,-2.7223447582497564,-6.167326818141138,-4.027397632563586,-2.722344758361522
4.0,4.0,-6.9176825851708585,0.0,0.0,-6.91768258521629,0.0,0.0
5.0,5.0,-9.27820844940339,0.0,0.0,-9.278208449436992,0.0,0.0
6.0,6.0,-5.766301110516715,-5.722581133793447,-5.712781366557523,-5.7663011105608115,-5.722581133953596,-5.712781366641308
7.0,7.0,-10.640438084325988,-1.2096074493294927e-06,0.0,-9.968975983393149,-8.082710073660873e-07,0.0
8.0,8.0,-11.626138682741821,-10.18106801716008,-10.179918790292492,-11.136560864118284,-10.181068017671095,-10.179918790324853
9.0,9.0,-8.575894641733855,-0.8693878193863158,-1.4223658202316587e-05,-8.575894641847114,-0.869388129924177,-1.4487311615563711e-05
10.0,10.0,-10.758824592687322,-7.678605045596793,-7.661167097940979,-10.217645944475493,-7.678605045766783,-7.641440404763112
11.0,11.0,-8.399677438054564,-2.949692646005671,0.0,-8.239715438676159,-2.9496926460221875,0.0
12.0,12.0,-12.341067469599029,-11.987285157692382,-11.916633748257958,-12.341067469603024,-11.987285157714656,-11.916633748289609
13.0,13.0,-5.688924354264,-5.604158611105364,-5.580366814636868,-5.688924354278906,-5.604158611211228,-5.58036681463715
14.0,14.0,-10.038327351930137,-8.059934926674371,-8.00911177951951,-8.03984843589624,-7.429501809180872,-7.362986720066217
15.0,15.0,-9.303801246705323,-9.110158971036798,-8.67358104733547,-9.29532407064717,-9.110158971037741,-8.673581047363314
16.0,16.0,-11.566447992831234,-10.988898256386905,-10.318140781270822,-11.504675918724386,-10.944133110867432,-10.296188639131179
17.0,17.0,-1.9853740871670857,-0.9494612749626915,-0.9450156160861961,-1.97582556492854,-0.9494612749627183,-0.9450156160877523
18.0,18.0,-12.428139079472379,-9.784239823522352,-9.223290021190412,-12.397378106157586,-9.267579488880846,-9.050455998529204
19.0,19.0,-4.855976698016715,-4.740330805469222,-3.9420058170171632,-4.855976698199214,-4.740330805474805,-3.9420058170174146
20.0,20.0,-12.424441811914253,-6.1059774399415865,-5.974266212172525,-12.130945019239066,-6.10597743999053,-5.722562668428332
21.0,21.0,-11.82698456167333,-11.826983286825513,-11.589377784437348,-11.233792120502418,-11.030377229271714,-10.908919831014105
22.0,22.0,-4.4040157269319535e-08,0.0,0.0,0.0,0.0,0.0
23.0,23.0,-11.055794614361798,-4.184469553182083e-09,-3.273503690363114e-11,-11.055794614499714,0.0,0.0
24.0,24.0,-2.9365323146786393,-2.853785856570662,0.0,-2.936532314679195,-2.8537858565965486,0.0
25.0,25.0,-12.473707886913086,-12.082395539461071,-11.909562821257634,-12.472543651519347,-11.998069396884913,-11.889019136947931
26.0,26.0,-10.512661105720937,-5.579148320843137,-5.00153725590497,-10.184881630777731,-5.579148320869734,-4.5040607934737
27.0,27.0,-12.381838400560321,-10.350807620282389,-10.13054971714536,-12.38183840056667,-10.350807620296758,-10.130549717221943
28.0,28.0,-11.639528820965706,-10.652309861384067,-10.652304032840192,-11.35724612146572,-10.491060703108266,-10.481560857844716
29.0,29.0,-10.351383264159708,-9.479887356864625,-9.00109895306011,-10.291156059250097,-9.47988735691851,-9.000816047227106
30.0,30.0,-12.476546673001122,-12.134053345008182,-9.61236967605908,-12.46576033817563,-12.006644279418627,-9.428360069534225
31.0,31.0,-6.7504436296340335,0.0,0.0,-6.750443629884383,0.0,0.0
32.0,32.0,-8.006968654881005,-7.172498895287452,-1.9466126844570768,-8.006968655240145,-7.172498895303951,-1.9466126844643217
33.0,33.0,-10.578332332815538,-10.027587221239322,-9.139489235402758,-10.57833233281606,-10.02758722124409,-9.139489235408872
34.0,34.0,-9.58281635633721,-3.4112222930008915,-3.0976172878728363,-8.316886838629769,-2.9606427312867845,-2.618897019725811
35.0,35.0,-11.403477787665485,-5.092851385678656,-5.018136149766601,-11.403477787666414,-4.820073833277538,-4.651195422685275
36.0,36.0,-11.611812835357329,-11.61159340774492,-11.381065738378783,-11.611812835430444,-11.611593407746401,-11.381065738378798
37.0,37.0,-2.8208905558482646,0.0,0.0,-1.758721692621564,0.0,0.0
38.0,38.0,-9.551054833405175,-6.285417070272674,-5.670201190219945,-9.551054833405537,-6.256420907239187,-5.634207158414851
39.0,39.0,-9.064074163090448,-6.706356654302221,-6.624248923883993,-9.064074163092728,-6.706356654336352,-6.624248923916612
40.0,40.0,-8.323949276947362,-8.232608429304811,-8.11760695047793,-8.3239492770115,-8.232608429304836,-8.117606950477978
41.0,41.0,-2.2621701989930883e-08,-2.7755575615628933e-15,0.0,0.0,0.0,0.0
42.0,42.0,-0.0012440242297900742,-1.8090937465692275e-06,-1.3061768931502782e-08,-4.376644853494915e-08,-3.4739988663576045e-12,0.0
43.0,43.0,-4.750511366956092,-2.8266988989870594,-0.3026221050608343,-4.750511367161344,-2.70458148106535,0.0
44.0,44.0,-11.129654704503327,-3.0056534140172304,-2.7833284256669764,-11.129654704681625,-1.9312219824669405,-1.9211423545666144
45.0,45.0,-6.174734906278848,0.0,0.0,-6.174734906278993,0.0,0.0
46.0,46.0,-3.934369427084354,0.0,0.0,-3.934369427122877,0.0,0.0
47.0,47.0,-6.702796814240123,0.0,0.0,-6.7027968142487016,0.0,0.0
48.0,48.0,-12.19485100263695,0.0,0.0,-11.852326725428767,0.0,0.0
