,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-11.271234460718592,-7.3878799412608975,-6.886902901168938,-11.271234460718981,-7.38787994126099,-6.886902901169879
2.0,2.0,-4.088945302930692,0.0,0.0,-4.0889453029374945,0.0,0.0
3.0,3.0,-8.211244503656427,-3.61475565551037,0.0,-8.21124450367571,-3.6147556555105282,0.0
4.0,4.0,-7.133773827429342,-4.591942264635758,-3.3976074980887714,-6.294434498230266,-2.6200069334273435,-0.007357234422839412
5.0,5.0,-9.278208449403392,0.0,0.0,-9.27820844950326,0.0,0.0
6.0,6.0,-10.039143638774359,-9.974218385383397,-2.176535369809253,-9.433200717199803,-9.403253095574104,-2.9292136784705667e-06
7.0,7.0,-11.50674695835177,-3.4521530543219323,-2.851505572497369,-11.50674695837862,-3.452153054373719,-2.8515055724973566
8.0,8.0,-11.690282936137793,-9.0733012695365,-9.040635419503547,-11.690282936149137,-8.458092915043474,-8.333926436294396
9.0,9.0,-8.575894641733855,-0.8693878190133189,-1.4223658200404533e-05,-8.575894641824203,-0.8693878438688502,-1.832684718783034e-05
10.0,10.0,-6.907436211105028,-6.781365128065968,0.0,-6.907436211106097,-4.601797683088807,0.0
11.0,11.0,-8.399677438054562,-2.94969264600567,0.0,-8.239715441758584,-2.9496926462132533,0.0
12.0,12.0,-11.715254995297851,-10.429288773173514,-9.337209935964696,-11.478777780519705,-10.416083998500007,-9.2729806415732
13.0,13.0,-6.653099930364445,-5.897534274679802,-5.783239438186759,-6.653099930425766,-5.890988620325318,-5.783239438824601
14.0,14.0,-6.460159941725088,-6.352699917128259,-3.989841471505645,-6.460159941729965,-6.352699917128497,-2.832537354404606
15.0,15.0,-12.459769417947562,-8.783722970347934,-8.10973921520997,-11.68857804010106,-8.763160115782384,-8.104480408114352
16.0,16.0,-12.463021392845482,-11.718277232063413,-10.980670954499,-12.45842139054402,-11.718277232094708,-10.98067095449913
17.0,17.0,-1.9853740871670857,-0.9494612749626914,-0.9450156160861745,-1.97582556492854,-0.9494612749658632,-0.9450156160861727
18.0,18.0,-11.054897199257864,-8.443791278200067,-7.732118954650904,-10.66622353931361,-8.429526508114854,-7.732118954655948
19.0,19.0,-10.078943478201865,-9.903149856582685,-9.800526806318043,-9.129282848814112,-9.076222220690044,-9.025381939775139
20.0,20.0,-10.254272284992233,-2.4993239047539038,-0.08881323689454827,-10.254272284994942,-2.499323904753911,-3.498752505005821e-05
21.0,21.0,-12.192450699241961,-10.903077962914429,-8.613356719744912,-11.902232336371346,-10.903077963029526,-8.61335672046775
22.0,22.0,-3.6753391316568678,-3.6752799415826254,-0.000395555839224482,-3.6753391316569686,-3.675279941589758,-2.3406397982429334e-07
23.0,23.0,-11.055794614361798,-4.184469553181992e-09,-3.2735036903631164e-11,-11.055794614363522,0.0,0.0
24.0,24.0,-2.2162145461400597,-2.196698803171835,-1.5020683494518421e-05,-2.216214546140357,-2.196698803206612,-1.5630647599724055e-08
25.0,25.0,-12.168356901517727,-12.159103573562616,-11.108824295922254,-11.899840000502051,-11.859008595988353,-11.093452657572781
26.0,26.0,-9.843693214311461,-6.051906055349868,-4.071041134583422,-9.244983820548427,-6.051906055350164,-4.047036385109058
27.0,27.0,-12.443440046855857,-12.403885123736684,-11.569448070544064,-12.442924323177552,-12.40308510614964,-11.568723872085643
28.0,28.0,-11.957703689981777,-11.833256446336708,-0.19521202092946488,-11.66928054008348,-11.583050116605111,-0.059695203324610265
29.0,29.0,-9.392611355192493,-7.557184322682182,-7.2544438203779045,-7.771342735435687,-6.917252919190956,-6.842054661128157
30.0,30.0,-10.195553868925522,-9.68409371540791,-8.371318325782307,-10.195553868938541,-9.684093715407935,-8.368181357580768
31.0,31.0,-8.026883948264521,-1.9523139380239074,-0.03331479544207476,-8.026883948339073,-6.66482671112195e-05,0.0
32.0,32.0,-6.154701806538619,-3.3829376569524423,-3.2024902639783135,-6.154701806560374,-2.7577753491527117,-4.406475184737499e-13
33.0,33.0,-8.456795048775243,-5.1762575148482455,-4.7974963645880795,-8.456795048808903,-4.507836077560903,-4.032464633222055
34.0,34.0,-10.883513197615013,-10.205213642295456,-9.482057172352222,-10.883513197631533,-10.205213642322114,-9.482057172352214
35.0,35.0,-7.920600153127481,-4.068143494378125,-3.882426583992357,-7.842043340848382,-4.068143494378304,-3.882426584012315
36.0,36.0,-11.083506339867572,-11.032507689512117,-10.037715379703991,-11.052740346195732,-11.023626671780239,-10.037715379704014
37.0,37.0,-4.159091514452334,-2.810927057960038,0.0,-4.111512153696246,-2.8109270579617798,0.0
38.0,38.0,-11.866620442914389,-5.837216445957711,-3.8010057573010396,-11.866620443005166,-5.5972324498008215,-3.727341092058591
