,sub,beta,w1,pt_beta,log_lik
1,1,1.0053805202987096,2.050840646543291,0.9999999999958902,-12.42012535767356
2,2,0.11743477887992296,14.00379333977091,0.577282280149404,-12.755078739924631
3,3,1.9291308723341714,-6.470970886105789,0.004055412003286666,-12.47021255229496
4,4,2.7554930707017915,2.8152738993181043,0.07702549400594835,-11.813635944379337
5,5,949.296383096186,1831.5474660177983,5.923627762676182e-07,-10.540530571079355
6,6,1159.6676002163535,1626.6900346348866,3.192836433886975e-07,-11.774536353453378
7,7,0.03481456886771152,198.43202080393803,0.08039580996095039,-12.089345453954536
8,8,51.46522939080516,0.07384860232571633,0.9999999999966414,-10.156599980201431
9,9,8.204501145582082,0.6150007262058591,0.9999999999999662,-8.855692357904525
10,10,22.286852961087018,-15.536364919938533,0.9871385731033373,-1.3862943611198906
11,11,24.419497657736166,-29.066229071281455,0.9999999998348179,-1.3866700825932943
12,12,6.888065088669501,-103.06750784670156,0.00042190846648887685,-12.351221703327173
13,13,1.5617763497295425,24.774396534323245,0.012211553606309681,-1.3862943611198906
14,14,2331.5631332393586,1273.9974235016898,1.0599779575902892e-06,-6.896334512728468
15,15,47.57325259077018,-14.927125195682155,0.0009628312636939057,-12.04998427294153
16,16,0.6651895654943111,2.0442729082205986,0.999999999931232,-13.152036829836184
17,17,50.60731370566418,20506.984981291178,6.140787147247953e-07,-12.018207470616446
18,18,0.5138194451067188,11.284723459536412,0.41241201584074244,-9.538611870276606
19,19,0.9274481272896477,3.995042128463842,0.9999999999512796,-10.016244133783056
20,20,5.5226013071440025,1.5689006649782882,0.9999999999719831,-6.390479683473666
21,21,1.8038762891473015,3.63349929101055,0.297100099597604,-9.580542147048352
22,22,8.597390185047885,0.2766275642366076,0.9999999999716307,-12.574091360719692
23,23,0.23451504077273294,35.82735344872276,0.9999999999745106,-6.943967157889491
24,24,8.34552605595641,-85.0902085038339,0.0006905876289072878,-12.205177671533116
25,25,8.224192064512309,5.781723583122256,0.059410930102111695,-7.627283174441606
26,26,3.799432287143464,-9.157161870470706,4.1700967691235355e-17,-12.476649250079015
27,27,8.857562723802708,-70.14549315513696,0.6279355592921744,-1.3862943611198906
28,28,8.685328270797376,4.114914573958711,1.0969325462745452e-16,-12.476649250079015
29,29,8.632305498628458,-4.037607496878156,3.009257944202137e-17,-12.476649250079017
30,30,4.394515410161986,2.998624732631024,0.9999999998734521,-2.917406920421099
31,31,117.3112309042377,2371.0593299276693,3.500044384405691e-06,-11.338743713521346
32,32,557.4147301382036,1537.517896603526,3.8239104550890793e-07,-12.253314934653028
33,33,1620.1671659081994,1722.2156073150697,6.331242770503739e-07,-9.600653002787633
34,34,11.334749554413744,3.2700549211779393,3.676489009190396e-17,-12.476649250079015
35,35,4.048208515778814,0.9211639979876555,0.9999999999547342,-9.2166380622135
36,36,585.7321258530108,1538.4710356022683,1.2374615149400625e-06,-11.23952335930618
37,37,1492.0275244042205,1760.5215642931298,5.429274289861025e-07,-10.349003853317974
38,38,4.944795608296219,10.483085832562335,0.10504736666919018,-4.58494613658002
39,39,0.21578138610880004,-2.7283805455053223,0.43626003435751953,-13.775942712693144
40,40,17.124026708289534,0.5812373206904147,0.9999999999852591,-5.494941274774535
41,41,1.7444230471783149,32.8677351374903,0.09013100261541537,-0.6931471805599453
42,42,12.33978051627248,0.6438081102961577,0.9999999999977309,-6.253127817165657
43,43,0.612734482982731,11.57055928513288,0.8665742290051224,-6.498552510523925
44,44,0.9250326496932395,53.11178511809631,0.03925999013430944,-1.3862943611198906
45,45,1.311305901570496,52.250562784073146,0.20875545783739824,-1.3862943611198906
46,46,2.42473576776747,1.0769153851723248,0.9999999999379019,-11.740090490125649
47,47,1.418571678184129,112.72214079152724,0.22617587545548384,-2.0794415416798357
48,48,2.9532609902046887,11.844337994011859,3.2835722783522623e-16,-12.47664925007901
49,49,2.3932733238165182,14.98735920509835,3.265930875175283e-16,-8.317766166719332
50,50,3084.8758739721534,899.9428000815844,8.732620998831578e-07,-9.293513385918489
51,51,3.252015017938697,1.2099065946233694,0.9999999999761185,-9.580901474154517
52,52,71.3667743810889,0.12833397301419439,0.9999999999888631,-6.178725575163337
53,53,3.982587550392487,2.6959468575514696,0.3889802442894916,-6.553134382186613
54,54,3.013563024057765,2.006946251140973,0.99999999998781,-8.796820913424604
55,55,1134.6732287320365,1576.0343873571394,6.700395976504979e-07,-11.164910731308247
56,56,136.144794947955,7851.468289974415,5.131074495541784e-07,-12.734155296650973
57,57,0.180634665444444,33.45500353262804,0.25290494993719936,-9.048080700209347
58,58,94.44554727620749,0.068574374127503,0.45767579716910767,-8.770454005641096
59,59,14.074643518238364,0.08812844006992415,0.9999999999962115,-13.317211131597446
60,60,0.5216196296198644,18.992720274666354,0.008756745000132342,-12.45810946004309
61,61,429.1665716898425,36.52171367783382,1.0046548831996317e-06,-12.47625024275219
62,62,3.4441471862088386,1.4581354162565274,0.9999999999613244,-6.459935469528392
63,63,1.0590126299344154,-670.9943158036558,0.0012428080825764806,-11.218040354557463
64,64,0.49148767415977357,4.024553378504763,0.9999999999898974,-11.799964269249235
65,65,3459.80676344719,1034.4435917016533,2.1831522910664023e-06,-5.033779053221732
66,66,2.7228096949514153,3.0561820778094813,0.9999999998793989,-6.407017295659952
67,67,2.814791244834417,0.7275879410622572,0.9999999999470395,-12.323110388022709
68,68,2.6650971803551027,0.6547006030368911,0.9999999999769378,-12.928357394417098
69,69,952.9220391050156,1587.3459268598695,5.849073123582521e-07,-11.722927102803217
