,sub,beta,w1,w2,w3,pt_beta,log_lik
1,1,-11.419034356140848,-31.674915044659016,109.34774413589417,1.701759454089614,0.9996365929056017,0.0
2,2,6.014106718021013,0.2568146565027361,-0.011557811411448708,0.37745316761558734,2.8520646421106115e-11,-11.73178506331328
3,3,-0.33962976148101826,96.04374065345253,2.1727766362846417,-32.32815242993851,4.130610976787144e-15,-11.937589558844058
4,4,15.407093506081644,-0.18065641789782813,0.3186220364658342,-3.7333345821607304,0.9999999994260478,-8.985016213980844
5,5,2275.0204890003424,194.89138577911672,0.0020869091719989867,-0.02117581828604502,1.0231158799381238e-06,-9.617490228526343
6,6,0.07236538800913336,-29.642107847859364,74.14463226351174,102.83419357401658,0.9999999999999944,-9.511252109359512
7,7,0.5244593122619176,567.6793666117135,14.325467782470733,-20.96588118736456,1.5546018569518163e-16,-9.67744674136925
8,8,1.7312233968787698,-415.36300584776853,11.100219649345673,-2.3590658474866597,0.006167311787657005,-5.93027699603748
9,9,4.993650189171838,0.6060283562727395,1.6400262064923599,-0.236691098001706,0.9999999994155042,-7.532638352522387
10,10,19.944967298756225,-34.0831257336493,36.69922859973342,627.1053394757666,0.9995895730408291,-1.443289932012704e-15
11,11,81.99287465498927,-6.179906661499322,-258.8016376848773,184.2675106854765,0.9955454083725244,-0.00029188912315905667
12,12,1.1170371844692188,-63.09297618470682,-3.1359765010476486,12.908999208512665,1.0124708111059192e-14,-8.457203478772334
13,13,43.04385364775002,18.713046360000053,-21.248384186592688,-4.270951570766048,0.11128139058674835,0.0
14,14,56.67418104807484,-9.61595206183889,13.219817548401927,6.608556040891237,0.011568016370937713,0.0
15,15,12.542756327112762,-91.21842180935121,126.73485930493288,19.022757441357612,0.8315163136592358,-9.982015214408266e-13
16,16,0.9506237614304061,0.7590093181920727,1.510219597940837,-9.171729076336153,0.9999999999756297,-12.74598961439481
17,17,834.8101744943397,1106.0467725092458,-0.00032863866137418027,-0.0012753946080843511,1.0895922736541364e-06,-11.973736146525205
18,18,47.866733819170555,2760.688921559662,0.10649483946430104,0.1032766087172779,1.4748663657681417e-06,-7.919456508493279
19,19,5.45702357997634,0.34545791656652297,0.45829439048295734,4.845768280676098,0.999999999230965,-8.524840013229928
20,20,0.4639092081175332,11.45284959576298,8.917385953911134,-7.174450556105214,0.9999999999924865,-5.1253861006433885
21,21,0.6653627484452291,21.232559679059566,-17.18759261459114,-22.10882301769296,0.9999999999975157,-8.313848367395616
22,22,0.47684578924809407,-6.117517014892634,47.257636178302505,9.440257506692898,0.9054490235227449,-6.05039170389549
23,23,1.749388509033433,3.1644163381023773,3.901221926004361,1.833340322233627,0.9999999991871251,-6.131702833154587
24,24,-4.424265594654725,163.01545428810573,-2.7916642986815106,11.343273435744402,0.0064963691964738685,-8.029025274883688
25,25,295.3719238073613,446.96086925288023,0.01717366246008581,0.0017952664362174643,3.960377589445983e-06,-6.2059215906053335
26,26,131.04894078721736,8.21104467423703,-7.438927690599257,4.7861666226858155,0.6806666731819444,0.0
27,27,-82.71050449534926,10.709995765840716,-4.065096723371351,-88.50590154927755,0.9985160622772238,0.0
28,28,-0.14761056485166962,-170.89867266062447,153.559085026769,-85.660642518565,0.6124144207974194,-2.7159820091939126
29,29,76.2451899854058,-9.331314948971787,0.05100962607564928,-0.010212655978005743,0.00017841755948188025,-11.292684890094744
30,30,1.6681851502961802,6.364234018110903,2.7286036704958017,0.019937910583894464,0.9999999987966167,-2.7909860376299296
31,31,142.96948694297703,458.19536111138893,0.07352362130824326,-0.10674634580569134,5.992318650602117e-06,-8.13621594085172
32,32,1222.4307743793443,901.0290715748856,-0.0012943940507911334,-0.0013933875554055595,7.633586490341253e-07,-12.00465025836417
33,33,390.9795237256917,1830.92445871375,0.005418463531862018,-0.3335630671531178,1.2602782381576647e-06,-8.886534175980024
34,34,1.145162058486263,-10.163916439999818,12.019348026344527,-5.292088766586996,0.9999999999999396,-9.10990583457694
35,35,1.0432729375809608,-3.0643044889059676,7.370042936801868,-1.0042611055961213,5.202774915575654e-12,-6.61842874183897
36,36,1312.4678260785317,1210.5056296203247,-0.005227126636675957,0.00437481229393831,2.1273285167785364e-06,-10.234624306887103
37,37,2.735819400103984,143972.98912759242,0.8008022286299561,-0.8447685554244195,8.305674526097206e-07,-9.623600363991773
38,38,4.847963803601131,146.97891079932438,0.39343610232451326,-1.6141384105174752,0.00575727303448368,-4.012441003572638
39,39,96.31132794519309,12.161945744013781,-3.198307341025777,15.148569029583955,0.5962331512003469,0.0
40,40,27.064575110393026,0.7711732460812004,-0.4492693040561964,-0.36856807033855665,0.9999999999898068,-4.775886770145814
41,41,23.985999298027988,11.249654303410349,-20.658454601462097,-2.021479007065904,0.6434154670199299,0.0
42,42,9.128464046326037,1.3854882171177927,-0.6246837745067269,2.9538588733091715,0.9999999999204984,-5.399018121948116
43,43,193.54577133595524,5.308502496447371,-5.089762123744821,4.614208560819097,0.6672500160885682,-2.0411417424523176e-08
44,44,12.865834312345488,20.91733347146885,-1.6925833948465332,6.5570984021372,0.9863810125857375,0.0
45,45,12.257878362453333,11.313053716340626,-9.33927585681348,-4.3740938194453935,0.9507211435229337,0.0
46,46,0.011203341598951585,381.1918380570717,-624.5767515371384,715.9671428377836,0.783363041110147,-8.731322154982252
47,47,56.11208554765827,1.211287665170699,12.135202220817746,-17.440584611921018,4.457284411339868e-09,-3.9092439995275804e-08
48,48,502.19426775223667,727.2162825441056,-0.010597948669954473,0.01449035350870873,1.0459914955080008e-06,-8.23725400112266
