,sub,beta,w1,w2,log_lik
1,1,23.757378759189898,15.597832186998266,-54.3514351082723,0.0
2,2,0.0017691134676421178,331.55817729354874,713.4155261090116,-12.433080511803565
3,3,-0.12447204580187055,9.522196581990135,-4.010671339130062,-13.488188230670787
4,4,0.8330004914099987,-14.668774831667026,16.333513101041298,-9.347132463784948
5,5,0.0955041646155376,-9.146696303081843,78.80521009766,-10.967601523235604
6,6,0.21513309681025183,-5.353731124830164,17.802905014628898,-10.406747979331357
7,7,0.006595262466738375,-512.0846874585777,1784.9760805876467,-10.606616905680509
8,8,0.20307800621144118,-28.13939048766101,54.37871096939045,-9.108543225404327
9,9,0.3423758078129689,7.976198226042283,24.783570215938255,-7.615188265532495
10,10,-0.8656737277735558,820.7849570562278,-90.20034859955163,-1.347545018744095
11,11,923.8260072501971,-0.7551725053744165,-1.641909890626557,-0.013522882829920108
12,12,-0.29920749630976784,1.3556372581603409,2.8726976667649327,-13.606356485290858
13,13,33.69143217953092,40.14425761587752,-32.90018100584222,0.0
14,14,7.714006785052797e-05,-2170877.2321638158,21103714.93584139,-0.00018115919497482434
15,15,31.181025847580464,-39.655780304577945,57.23216153913354,-1.1580181258403979e-11
16,16,1.7176905357085528,0.43741222618675146,1.0812277493611222,-13.090336352276584
17,17,0.994393737827486,1.894955441310757,-0.20976635831138535,-13.13465596103693
18,18,0.002963040543771827,200.7918660183877,1942.5882093642253,-8.653635534065836
19,19,0.03338450990747799,44.99938176544832,89.05184335103823,-8.755634387005498
20,20,0.016436846556464886,337.9944587628386,322.68128636445147,-5.620561877821457
21,21,0.1024614750633043,63.58383032436436,-45.51791782219301,-9.938630520327722
22,22,7.163923534317309e-05,-30166.73151071669,237908.8862622991,-6.916437668405966
23,23,1.2035112166007336,5.034070764318434,5.893154038296823,-6.204023673593062
24,24,-0.11809761557285896,-36.79899418892126,54.500146602703055,-12.692932812195217
25,25,0.2394910920300639,-0.36232685851477553,25.75623435971287,-6.337096517399249
26,26,0.04351144758850643,357.4131014835748,-369.104996674798,-7.993671280315016
27,27,-29.395908402049976,42.870503397252854,-19.96255213727099,-0.09297103281082932
28,28,-0.00013680963217918183,-102169.21081696317,107679.22126727394,-3.7105524247138684
29,29,0.258560181338479,15.273623004752947,-15.564175555722585,-12.85667970699481
30,30,0.7945848946156275,13.362134747523621,5.738369216588199,-2.7909874867077975
31,31,0.1482587079803941,-13.030144796257371,68.47574114874377,-9.924921346600133
32,32,0.024599381803448138,-60.23658239301251,113.65753892849642,-13.472071566503034
33,33,0.11621857185069456,-33.23337849687772,81.88681502112559,-9.278924712289273
34,34,0.9642611337524176,-7.873589990102426,11.287996037346248,-9.888117783935352
35,35,0.06547109678526747,-8.79715440098981,98.19812789570784,-7.90437976975908
36,36,0.34157654766435297,12.290145572594179,-4.709394660518635,-11.643927505317325
37,37,0.07289156621503287,-6.152024246429713,54.59104231617907,-10.673594071349111
38,38,0.11679076704301677,123.72402647485809,-7.214411902508905,-5.043447089074135
39,39,0.0002447462580454571,-2030.2106855943855,2281.0526036311176,-13.80346520342809
40,40,0.0060282242699096975,2615.7706632970885,-1074.9577950566104,-5.258447278691238
41,41,19.65449751738658,24.88258877685625,-6.283457574325166,0.0
42,42,0.13550547156198495,73.00909666800865,-22.268084048598652,-6.178221619550596
43,43,0.3286775185994303,40.99978404319198,-18.646828805196236,-4.5809200838388
44,44,12.382207750773446,55.78436464280751,-9.173526366485264,0.0
45,45,10.113224628248785,22.683285705153388,-36.040730635064264,0.0
46,46,0.5630042973507954,7.5927410425831035,-4.717445953688886,-11.218230703746931
47,47,3.928886644161012,64.00425140839522,123.57332257973597,-0.008285034439099176
48,48,0.0007157449806902746,4234.412537676499,-5146.0737563055945,-13.23692572534434
49,49,0.6395311516306788,13.495084751556316,-12.095337168326925,-7.174686902757428
50,50,0.633576882274743,4.340001158757831,2.9579095419758925,-10.197660804213754
51,51,0.8184263132632348,4.777048310156321,0.041743631905079036,-9.580888854514495
52,52,0.35501951688417516,54.375754432278896,-33.758830487814336,-4.981182450885727
53,53,0.8490636040034667,5.401103791834606,4.180362990820919,-6.585778658359473
54,54,0.27912935575635944,0.6335539734399316,25.30853480701726,-6.013979728954773
55,55,0.027150788395694073,-160.29959584702306,245.45398368021506,-9.690015600715622
56,56,0.21091193488488075,-2.4872461705618187,15.280546298834068,-13.11635446336359
57,57,1.4989786603298738,7.2102115938099285,-4.521670520821743,-7.753265765114461
58,58,0.3435483631337167,-16.217529518868304,60.81474526583776,-4.211091006322795
59,59,1.3247149813574515,2.1043934594178513,-1.449681580880081,-13.024130439096197
60,60,1.7255093974583473,0.3753282122034165,0.5396508178357546,-13.001010489175279
61,61,0.08746550928756781,-9.814199430195089,30.600046304234077,-13.50824728143818
62,62,0.3857492138769994,-8.322206820299002,31.8954892255651,-3.442752606292952
63,63,-0.0005791334684558359,4711.106359316818,-3095.0308080679806,-12.035505650444886
64,64,0.02647349248558229,-58.84200125724802,271.0954938290056,-9.115192356866979
65,65,11.784621178974003,3.943320765523735,138.04189695318473,-1.7097434579227518e-14
66,66,127.62044974416987,-8.50215797440353,27.112995977248048,0.0
67,67,0.05363246249310207,132.41350616242744,-278.12111995255196,-11.058329686626077
68,68,1.3480839551736974,-2.5635337199374204,7.088642264897041,-8.657187153239077
69,69,0.8576706331422742,1.6039712093844898,2.3043999259049377,-12.948982704266417
70,70,0.18475937834424694,25.21321150363218,44.466449361587436,-5.69421018996619
71,71,0.4995590421052176,-13.368178476131085,17.89865381540931,-12.214759800224638
