"","sub","trial","unfair","moneyA","moneyB","optionLeft","optionRight","partner","rp","choice","rt","rprt","EmoPredict_X","EmoPredict_Y","EmoPredict_RT","EmoPredict_Flag","EmoFeedback_X","EmoFeedback_Y","EmoFeedback_RT","EmoFeedback_Flag","EmoFinal_X","EmoFinal_Y","EmoFinal_RT","EmoFinal_Flag","EPE_X","EPE_Y","EmoRegu_X","EmoRegu_Y","EmoTotalChange_X","EmoTotalChange_Y","RPE","moneyA_N","rp_N","RPE_N","EmoPredict_X_N","EmoPredict_Y_N","EmoFeedback_X_N","EmoFeedback_Y_N","EmoFinal_X_N","EmoFinal_Y_N","EPE_X_N","EPE_Y_N","EmoRegu_X_N","EmoRegu_Y_N","EmoTotalChange_X_N","EmoTotalChange_Y_N","optionType"
"43",1,44,"md",7.1,2.9,"PUNISH","ACCEPT","CFD-WM-205-007-N.png",2.6,"PUNISH",2.14192826603539,1.47548268502578,-105.98828125,-1.1328125,1.2257291849819,1,-154.75390625,3.02734375,1.00459114002297,1,238.81640625,2.21875,1.11810908897314,1,-48.765625,4.16015625,393.5703125,-0.80859375,344.8046875,3.3515625,0.3,-0.262384143372809,0.11623548566757,0.127996038735901,-0.985115605577325,-0.250264811356056,-0.810006544346909,-0.600313363728658,1.43240002213285,-0.728760531898109,-0.148896690725825,-0.429979583682721,1.87828812821796,-0.0601766161501425,1.76210774988031,-0.513991098340067,1
"44",1,45,"hi",9.2,0.800000000000001,"COMPENSATE","REVERSE","CFD-WM-207-048-N.png",2.2,"COMPENSATE",3.01628334698034,1.40587041800609,-126.70703125,3.53515625,3.02829592901981,1,-237.78515625,5.34375,1.31971846002853,1,115.92578125,-3.578125,2.32172682898818,1,-111.078125,1.80859375,353.7109375,-8.921875,242.6328125,-7.11328125,-1.4,1.14373523865238,-0.209084988012461,-0.746064674084447,-1.19436001457149,-0.171231375909133,-1.3536965001146,-0.575316082872252,0.376261822632065,-0.798490558336028,-0.503573002242493,-0.454733278605196,1.62045763762744,-0.158703313908663,1.08070124815323,-0.631426030975723,6
"45",1,46,"md",7.5,2.5,"ACCEPT","PUNISH","CFD-WM-222-057-N.png",2.5,"PUNISH",6.043804136978,6.21562416601228,-163.96484375,-1.26953125,2.97577604599064,1,-112.6953125,16.890625,1.76970972499112,1,187.23046875,-1.6171875,0.659878073027357,1,51.26953125,18.16015625,299.92578125,-18.5078125,351.1953125,-0.34765625,0,0.00544811987008378,0.0349053672475626,-0.0262499694088659,-1.57063700797011,-0.252579598168309,-0.534606198385736,-0.450709063965781,0.989063688292817,-0.77490263834153,0.420493082445586,-0.282608748795424,1.27254818790762,-0.27511376951743,1.80472822077897,-0.5555031853897,1
"46",1,47,"lo",6,4,"PUNISH","REVERSE","CFD-WM-236-072-N.png",2.3,"REVERSE",1.80018608097453,2.17835676402319,-100.5625,0.078125,1.3039518329897,1,-55.30078125,2.11328125,2.06562366499566,1,225.203125,3.0390625,1.220297235006,1,45.26171875,2.03515625,280.50390625,0.92578125,325.765625,2.9609375,1.7,-0.998922867290762,-0.127754869592453,0.847810743411483,-0.930319134217428,-0.229762413876101,-0.158785887880719,-0.610177383493244,1.31540569202286,-0.718893075326706,0.38629723445708,-0.452348371120971,1.14691772934078,-0.0391145777270404,1.63513209269199,-0.518374634459352,5
"47",1,48,"lo",5.9,4.1,"COMPENSATE","PUNISH","CFD-WM-242-011-N.png",2.3,"COMPENSATE",3.14524900499964,0.931054930959363,-88.15234375,-1.046875,1.14963895000983,1,-52.8203125,5.4296875,1.16004825901473,1,224.9140625,0.6875,0.706863251980394,1,35.33203125,6.4765625,277.734375,-4.7421875,313.06640625,1.734375,1.8,-1.06588093310148,-0.127754869592453,0.899226079459739,-0.804985520459048,-0.24880980250264,-0.142543738750475,-0.574388696398659,1.31292145086701,-0.747179784164729,0.329778479199096,-0.405595960611245,1.1290030078758,-0.107945698789926,1.55043823517881,-0.532138937873908,4
"48",1,49,"lo",5.4,4.6,"COMPENSATE","PUNISH","CFD-WM-241-072-N.png",2,"COMPENSATE",2.45310778100975,2.48082950001117,-169.3203125,-0.40625,1.71440468198853,1,-67.23828125,1.16015625,1.44420051894849,1,193.7265625,2.2265625,0.98610420699697,1,102.08203125,1.56640625,260.96484375,1.06640625,363.046875,2.6328125,2.6,-1.4006712621551,-0.371745224852477,1.31054876784579,-1.62472337386962,-0.237963372868083,-0.236952829206747,-0.620462942564008,1.04489197264659,-0.728666556121239,0.709712582207924,-0.457282662467644,1.02052924306738,-0.037406844881924,1.88376887402259,-0.522056804799552,4
"49",1,50,"lo",5.7,4.3,"PUNISH","ACCEPT","CFD-WM-234-118-N.png",1.9,"PUNISH",3.92099812097149,2.30609476496466,-118.046875,-0.86328125,1.43382807297166,1,-118.53125,-1,0.65734799799975,1,-171.37109375,-26.7734375,0.622873861982953,1,-0.484375,-0.13671875,-52.83984375,-25.7734375,-53.32421875,-25.91015625,2.4,-1.19979706472293,-0.453075343272485,1.20771809574927,-1.10689869203377,-0.245701374497614,-0.572820010670123,-0.643774066195699,-2.09280531967192,-1.07750463986457,0.125915195579717,-0.475210587693889,-1.0093173495531,-0.363346633181776,-0.893100694167934,-0.842361789035736,1
"50",1,51,"md",7.1,2.9,"PUNISH","COMPENSATE","CFD-WM-211-054-N.png",2.2,"COMPENSATE",2.57078635803191,1.47405124804936,-131.43359375,-1.265625,4.10325906402431,1,-131.671875,0.33984375,1.38337214302737,1,113.0859375,-0.58984375,1.2895413619699,1,-0.23828125,1.60546875,244.7578125,-0.9296875,244.51953125,0.67578125,0.7,-0.262384143372809,-0.209084988012461,0.333657382928925,-1.24209488163086,-0.252513461402244,-0.65886503377901,-0.629315267993764,0.351855831817155,-0.762544823683058,0.127315935776906,-0.456871471522088,0.915694011250432,-0.0616471638778816,1.09328418668871,-0.544018320757172,4
"51",1,52,"lo",5.7,4.3,"COMPENSATE","REVERSE","CFD-WM-223-056-N.png",2.7,"COMPENSATE",3.33983535197331,1.15672820899636,-147.26953125,0.86328125,0.865534983051475,1,-58.3046875,3.6875,0.901443836046383,1,207.57421875,-6.5,0.760695139004383,1,88.96484375,2.82421875,265.87890625,-10.1875,354.84375,-7.36328125,1.6,-1.19979706472293,0.197565604087578,0.796395407363227,-1.40202641143145,-0.216468923897163,-0.17845551415026,-0.593189349454236,1.16390055234241,-0.833637498885599,0.635050906300641,-0.444042314020738,1.05231587156237,-0.17407290951471,1.82906044560743,-0.634231494092065,6
"52",1,53,"md",7.6,2.4,"PUNISH","ACCEPT","CFD-WM-203-023-N.png",2.1,"PUNISH",2.99629905098118,2.38337813899852,-82.53515625,2.64453125,1.23430262797046,1,-158.6171875,3.52734375,1.5047039820347,1,220.84765625,0.1640625,0.711046334006824,1,-76.08203125,0.8828125,379.46484375,-3.36328125,303.3828125,-2.48046875,0.3,0.0724061856808066,-0.290415106432469,0.127996038735901,-0.748255984234763,-0.18631055857181,-0.83530337188992,-0.594917660609569,1.27797422055295,-0.753476161215054,-0.304378852613743,-0.464478504014875,1.78704685993862,-0.0912004295030901,1.48585623801634,-0.579437292600998,1
