,sub,beta,w1,log_lik
1,1,0.14927275040467577,-2.2045848377042345,-12.432358411977578
2,2,4.3898978153515,2.6697880931246996,-4.088945302930693
3,3,2.2403633930807834,2.2003410787935955,-8.211244503656427
4,4,7.698003312170809,0.6293204953940689,-8.377657227469248
5,5,8.494932602190865,0.5122872084505276,-8.508098554629774
6,6,0.41805510984790833,5.804670409172196,-9.766044367221344
7,7,0.8093602701623703,1.0962954125502744,-11.542553938343213
8,8,0.8804669998514993,1.7803156479991107,-11.347205881589929
9,9,0.7092392164534509,4.6323459602415475,-8.575894641733857
10,10,3.677461086044687,0.6574712442436222,-10.28913062205301
11,11,2.8255066995450187,1.4743231349152675,-8.399677438054564
12,12,3.236707116029356,0.9885008828799502,-10.11179533587883
13,13,4.048489059716591,1.4307659515344198,-7.272195697253693
14,14,1.5629808544355621,3.4210320972457406,-6.890655620627726
15,15,0.8891877041149975,2.0078863564576617,-11.254708467797185
16,16,0.5232824027737336,1.3873730015019718,-12.259177713917717
17,17,1.7536331375530267,16.556955804289892,-1.9853740871670857
18,18,1.250436775524753,1.4013473670023333,-11.20589413230676
19,19,1.0655652194901561,3.4393592723335416,-8.558386287614727
20,20,1.4352937552871676,1.8302534954692602,-10.254272284992233
21,21,0.2333492254144316,1.7804295530166034,-12.40171047120406
22,22,3.4245989762016666,2.6427488998357447,-5.21131207483884
23,23,4.657775659524255,0.45781338046449593,-11.055794614361798
24,24,13.306874057292532,3.1897639645168523,-2.2162145461400597
25,25,1.4311491634137967,0.776532169299577,-11.811524402795541
26,26,3.9906644583804285,0.6730915507597828,-9.702766510341434
27,27,0.317451595582182,3.0342608284913757,-12.062853036295209
28,28,1.0911841054875988,1.777265125037,-10.986606873179694
29,29,2.6815175934983806,1.5142110448671064,-9.30813811170259
30,30,0.7871946171427548,1.1428263636587794,-12.124120288183068
31,31,2.484363491705909,1.515669191905845,-7.463198004935379
32,32,2.3912232406983995,2.765688931256313,-6.154701806538618
33,33,1.1295420768225206,3.516550418103715,-9.200213446893548
34,34,1.4723462106579326,1.6025574366428592,-10.771507110271209
35,35,2.4601069799819877,1.4617367062580426,-9.274990529718483
36,36,2.9642284781873287,0.37860591308455094,-12.025021298086257
37,37,3.4767716154254478,1.9073820527910803,-5.299115568742239
38,38,2.5478999769470034,0.9747999749353532,-10.2328264566874
39,39,3.250690791151043,1.0823400038371154,-8.3462471420016
40,40,1.9857914291505327,1.101987799584205,-10.263353532003539
41,41,5.844123741628916,3.3301474749497517,-3.5085620165427667
42,42,1.427915393320398,15.5801355840002,-2.0273479994785877
43,43,2.718964987921537,2.4156923211468198,-5.172663648164829
44,44,0.37328580651916077,4.09882728604863,-10.660033833541334
45,45,3.240218256010059,2.0549704090795977,-6.174734906278848
46,46,3.3450021661784204,3.0329293559781814,-3.934369427084354
47,47,7.708962931319986,0.6807118085109951,-6.702796814240123
48,48,1.301088670831757,1.358966948996682,-11.021744485950967
49,49,3.2385491075530286,0.8629393232405712,-9.367086600526626
50,50,1.2310303787129473,2.188282538799927,-10.123148627942658
51,51,16.543544835080354,0.5386088142836363,-4.150640235501523
52,52,2.0015852908813008,1.2091738476390688,-10.68066987354942
53,53,1.3975326232428307,-2.1414760147815723,-9.04483363994308
54,54,2.1351415860747656,0.8947994010506664,-10.63975378592128
55,55,0.45703062427527485,0.9283931591969087,-11.710936264320319
56,56,0.8515929680051382,-0.6607599789807064,-12.399397222235073
57,57,1.3913496625728201,0.8900540882729149,-10.57372668251016
58,58,1.0153352756261533,4.957185470071881,-7.8892660818623055
59,59,35.45566057365782,0.02366663026860205,-12.107128030773701
60,60,12.480597631337542,0.7377058344847209,-5.011269910378573
61,61,1.655985970846199,1.6246646673488732,-9.492772946493492
62,62,19.548181653820198,0.2127875413044254,-9.070262712323917
63,63,3.6479860128908856,2.120467052971848,-5.533306462773153
64,64,0.6083893288551168,0.25377195097532446,-11.772547953482697
65,65,2.235269696086439,3.5920116279705447,-5.221160919203345
66,66,2.6315485096106856,3.1157474657475874,-5.821188772640331
67,67,0.24032631703008794,-2.514161882497679,-12.321454037311339
68,68,1.7718744276583251,3.3728117948154,-6.8374474178694395
69,69,1.264533259654166,0.7281851776320338,-12.142849413836098
70,70,2.2558608918807366,2.526101543841432,-7.187863236795774
71,71,0.7918756367672233,3.63388349477846,-9.709852430290338
72,72,3.388373998715669,3.822776902470514,-3.835864418921994
73,73,1.2977498521692592,3.632986037657995,-7.411836317355541
74,74,1.1720313399200488,5.407238907048858,-6.8595903733926535
76,76,0.3717697796161021,-2.181811930602655,-11.575263285053538
