"","word","sub","end_X","end_Y","respondTime","responseFlag"
"86","Peppy",13,176.79296875,219.48828125,1.93249993499921,1
"87","Annoyed",13,-163.40234375,112.921875,2.57891585899779,1
"88","Satisfied",13,185.25390625,47.6875,2.59737571699952,1
"89","Nervous",13,-168.33984375,74.74609375,2.85269617300219,1
"90","Surprised",13,199.25,184.40234375,1.9848286460001,1
"91","Calm",13,209.8984375,-171.12890625,3.11213544600105,1
"92","Disgusted",13,-199.6640625,-73.23828125,2.33092108600249,1
"93","Quiet",13,-0.3203125,-1.83203125,2.81039778400009,1
"94","Happy",13,153.21484375,163.01171875,1.67388319800011,1
"95","Relaxed",13,218.28125,-193.3515625,3.03957723900021,1
"96","Sad",13,-188.10546875,-132.6953125,3.33443087900014,1
"97","Sleepy",13,1.0234375,-236.9140625,3.90544430699811,1
"98","Afraid",14,-228.95703125,-143.73046875,3.74444492199837,1
"99","Disappointed",14,-236.19921875,7.671875,4.79933540399725,1
"100","Sluggish",14,-108.609375,-234.984375,2.88819787800094,1
"101","Angry",14,-94.828125,240.3359375,2.62738816000274,1
"102","Peppy",14,-239.36328125,185.1640625,3.21772978599984,1
"103","Relaxed",14,136.6953125,-154.90625,3.15385646900177,1
"104","Surprised",14,5.37109375,245.53515625,3.1313349919983,1
"105","Still",14,-0.625,-235.734375,2.42870343100003,1
"106","Neutral",14,1.40234375,0.69921875,1.14204381699892,1
"107","Enthusiastic",14,180.43359375,181.26171875,2.09487214600085,1
"108","Aroused",14,42.7109375,247.48046875,3.43553061800048,1
"109","Sleepy",14,59.6328125,-232.8046875,2.99502666899934,1
"110","Happy",14,240.94921875,76.92578125,2.81959633499719,1
"111","Disgusted",14,-231.578125,123.359375,2.26046014199892,1
"112","Annoyed",14,-218.4453125,32.1875,3.94988534499862,1
"113","Quiet",14,17.88671875,-199.2109375,3.18082609599878,1
"114","Satisfied",14,129.63671875,1.57421875,1.68362897299812,1
"115","Calm",14,135.16796875,-80.2734375,4.15462278799896,1
"116","Sad",14,-209.140625,-70.56640625,3.55939253100223,1
"117","Nervous",14,-215.18359375,178.57421875,2.12185115300235,1
"118","Calm",15,177.22265625,-1.1328125,5.47586244100239,1
"119","Satisfied",15,142.171875,133.73828125,3.62475525099944,1
"120","Aroused",15,6.04296875,230.65625,3.31961197300188,1
"121","Sad",15,-208.77734375,-112.97265625,4.31423522499972,1
"122","Still",15,-0.0078125,-2.8359375,3.85820392199821,1
"123","Sleepy",15,-44.63671875,-244.9140625,3.98330510099913,1
"124","Surprised",15,192.82421875,227.671875,2.73612053100078,1
"125","Disgusted",15,-223.70703125,58.96484375,5.48726802199963,1
"126","Afraid",15,-224.0390625,197.20703125,6.58204567999928,1
"127","Angry",15,-220.87890625,216.0703125,2.90738075900299,1
"128","Sluggish",15,-230.96875,-241.29296875,3.06314564300192,1
"129","Enthusiastic",15,230.921875,226.9296875,2.01976079200176,1
"130","Nervous",15,-97.35546875,-14.97265625,4.15654599299887,1
"131","Relaxed",15,213.5,-236.66015625,6.78174861699881,1
"132","Happy",15,159.21484375,10.02734375,4.1695846420007,1
"133","Disappointed",15,-222.109375,-135.4921875,4.73848025600091,1
"134","Quiet",15,49.2578125,234.25,6.08834680799919,1
"135","Peppy",15,2.03515625,0.9921875,2.8464143659985,1
"136","Annoyed",15,-218.453125,188.2109375,1.49445099300283,1
"137","Neutral",15,1.7421875,-1.1484375,2.23116759299955,1
"138","Aroused",16,1.9140625,249.41015625,3.73620326499804,1
"139","Quiet",16,141.09765625,-250,4.08169549799641,1
"140","Disgusted",16,-250,121.4765625,3.15971300399542,1
"141","Nervous",16,-154.99609375,119.1171875,3.98863113999687,1
"142","Relaxed",16,250,-215,4.65267257900268,1
"143","Neutral",16,4.1015625,1.3984375,1.55872464700224,1
"144","Still",16,-90.08203125,-136.35546875,2.7773175159964,1
"145","Calm",16,116.0078125,-43.453125,4.04148038599669,1
"146","Happy",16,222.1875,153.46484375,2.88066608900408,1
"147","Peppy",16,142.875,-0.77734375,5.31855214200186,1
"148","Satisfied",16,152.09765625,22.765625,4.76252399499936,1
"149","Sluggish",16,-178.62890625,-171.578125,4.56933887299965,1
"150","Annoyed",16,-167.140625,102.140625,1.91116501799843,1
"151","Sad",16,-250,149.953125,3.13227273600205,1
"152","Enthusiastic",16,216.90625,250,2.44615215999511,1
"153","Afraid",16,-240,250,2.08265881399711,1
"154","Disappointed",16,-228.734375,-156.99609375,2.73562107700127,1
"155","Surprised",16,250,250,1.62374923199968,1
"156","Sleepy",16,-201,-250,1.79646660300205,1
"157","Angry",16,-250,250,2.65069253900583,1
"158","Quiet",17,0.671875,-0.86328125,4.99939453499974,1
"159","Disgusted",17,-32.890625,39.9609375,7.93954151800426,1
"160","Satisfied",17,25.7109375,62.609375,9.3039968890007,1
"161","Relaxed",17,-1.34765625,-0.4609375,2.78531632399972,1
"162","Aroused",17,16.5703125,57.63671875,3.91679038699658,1
"163","Afraid",17,-31.109375,98.640625,4.18565127799957,1
"164","Annoyed",17,-55.7421875,58.78515625,3.12931574899994,1
"165","Sluggish",17,-148.32421875,44.48828125,4.96798803099955,1
"166","Angry",17,-9.91796875,20.2421875,2.45628663899697,1
"167","Calm",17,118.1640625,52.44921875,5.74153001599916,1
"168","Nervous",17,1.37890625,101.73828125,5.94289297799696,1
"169","Sad",17,-46.9453125,22.3203125,5.10456726099801,1
"170","Enthusiastic",17,87.34375,23.6953125,2.62503701800597,1
"171","Sleepy",17,13.1328125,-34.9140625,4.86460264799825,1
"172","Neutral",17,35.94140625,-159.19921875,4.5170580740014,1
"173","Surprised",17,-12.4609375,72.203125,4.86123729499377,1
"174","Still",17,-0.8125,4.46484375,3.97720432200003,1
"175","Disappointed",17,-40.4453125,36.6640625,4.65540871600388,1
"176","Happy",17,84.51171875,3.16015625,5.39697163700475,1
"177","Annoyed",18,-227.03125,159.6953125,4.34832874800486,1
"178","Still",18,4.2578125,-169.51171875,3.55554236099852,1
"179","Nervous",18,-148.8984375,170.49609375,4.61235993399896,1
"180","Neutral",18,0.796875,-0.05859375,2.76916944700497,1
"181","Afraid",18,-196.3671875,107.0390625,4.54855284200312,1
"182","Surprised",18,78.44140625,152.953125,3.92363407700032,1
"183","Quiet",18,-0.20703125,-83.5859375,3.51966608500516,1
"184","Satisfied",18,159.0703125,-25.50390625,4.24492052300047,1
"185","Disappointed",18,-116.94140625,-64.55078125,5.42687042099715,1
