,sub,beta,w1,pt_beta,log_lik
6,6,6.74586463972947,-105.22234165102273,6.704046546806566e-05,-12.473800226941515
9,9,5.465159926842397,1.5256543089873653,0.33967883294685763,-7.981087118150255
14,14,9.717057443906153,-3.836271851219836,1.5429393367111072e-17,-12.476649250079015
15,15,0.6745596371441867,5.089062686443182,0.9999999995804325,-10.248104236065815
18,18,2.5779761922648414,3.838036775414853,0.27701280339828016,-8.678793902584607
20,20,5.902164919845376,-120.29231963308209,0.0027060586118953867,-9.119050757965843
21,21,1.7201585278693772,1.0814814841531728,0.9999999998891478,-11.491493904615002
22,22,4.918298920240796,1.5442953227160707,0.2556340356219655,-8.834979073157436
23,23,1043.377789295329,2066.8339100266503,2.0011893484209503e-06,-5.671825727865171
24,24,6.8081253717850405,2.0069771625770105,0.999999999975802,-5.797032776042609
25,25,0.008173761861622535,688.2387892354336,0.12314777149278981,-12.221066192463852
26,26,997.5819579718718,2260.692733551272,6.842675987212933e-07,-10.459360907243402
28,28,0.8884522765010694,7.267494205311847,0.9999999999023998,-8.827817824156234
29,29,0.37354391506009255,10.370963804000038,0.9999999999998057,-11.49116599564878
30,30,1.1221073653673659,2.8786570690362145,0.9999999998716904,-11.003675355315776
33,33,254.12737974707198,3298.4801088756303,5.298200182923826e-07,-12.167699224819867
35,35,4.112797724135568,1.9641885487178872,0.11127553811091172,-11.797041247262179
36,36,2.333115860309791,1.746565772363041,0.9999999999767566,-11.77885959681119
40,40,4.629486675093435,-153.31780006795037,0.0002582430328541133,-12.430343692184561
41,41,-1.8947356714677253,1.0525114619914895,0.9999999999954423,-11.422696353365508
44,44,1.8585626661984938,3.759181438802323,0.8100351173831574,-8.536651026242351
46,46,2783.1143351826704,1112.4303426886734,1.0575980400227677e-06,-6.721133883700383
47,47,1.8205826635069349,1.4033552207087743,0.9999999908713226,-11.82717304210741
48,48,9712.183462980707,294.2502970205484,5.186699167935614e-07,-9.558650553320506
49,49,0.48706239040733446,16.95513483048436,0.5395350668047147,-6.9715778605623635
50,50,0.060323933634629213,110.07628656804616,0.0653623791727839,-12.23563588073333
51,51,1779.2593003557117,2195.439040127457,6.341727522475814e-07,-8.584371259405728
53,53,4.384498269374609,1.6695836845372332,0.40954488333800165,-8.428040349924421
54,54,14.019441280016878,-2.4904368755043365,6.854214050742071e-17,-12.476649250079015
59,59,920.905767884894,967.5901981572013,4.071886712978893e-06,-6.679038579211843
61,61,672.2151151871615,2059.0479854924397,5.058816766664202e-07,-12.054993646506885
62,62,9.721471332378538,0.738308960443866,0.99999999999191,-6.397967622052104
63,63,25.410958142844756,-17.45356686060196,0.8425432473536629,-1.3862943611198906
64,64,1826.2609002049269,1206.1202089909966,1.9831392409835744e-06,-6.989341570545042
65,65,1.1106085413931919,1.6499010668971064,0.9999999999834651,-12.923063685013055
66,66,11.149209979780807,3.108725605254664,1.0992259987856026e-16,-12.476649250079015
67,67,0.034857251601001046,146.83357239639884,0.2963483022299813,-11.273086556124921
69,69,2.904174912432671,1.8733184995270111,0.9999999987244875,-9.228004683119023
72,72,1554.5187949284682,0.004698209952190694,0.5046442324770061,-7.229345324084322
74,74,3.2674434210948005,10.359855254535663,8.321718940836927e-17,-12.47664925007901
76,76,22.332518636468556,0.2014019432594657,0.9999999999813369,-10.471499466207929
79,79,16.256215221119042,-43.711172130772354,0.0016160398276640407,-11.407008239539797
81,81,52.859455926815386,-13.434654746720614,0.0010087107990203647,-11.962240931271847
83,83,7.523561771627611,0.10159067012957926,0.9999999999959295,-13.710857888850644
86,86,11.197584141326256,-60.87964253442527,0.7016599093063975,-1.3862943611198906
97,97,39.04443480750784,-15.663119038675571,0.693823151501147,-1.3862943611198906
100,100,2.9713225558519305,1.6246544028198673,0.9463334611597654,-10.199548549104447
101,101,0.9827062251632991,8.820742039168486,0.22285224753746302,-9.62971998376117
102,102,0.3988540978599342,23.541541413689473,0.36665621532180126,-8.341056652554299
106,106,392.63193741687695,2970.925603540526,6.783791610339596e-07,-11.392966021469663
107,107,0.2223548558252374,137.00746907892392,0.26891664115612013,-1.7791461890846723
110,110,2704.382831401496,681.9134160316232,9.49346154278808e-07,-9.636837536279169
111,111,2.158394952005967,3.08684372813362,0.24371510046149525,-10.661216317823834
117,117,3.1934066502665415,1.2048707572449384,0.9999999999982649,-9.734344933240521
120,120,1854.9839333927632,680.0739197997364,3.927647838440155e-07,-12.09239959012194
124,124,2.2143310878124103,-15.916305683865023,2.785927682149656e-17,-12.476649250079015
126,126,1175.2759004494583,397.35675163886805,1.9314046203858868e-07,-12.457303085549992
127,127,17.822522341993512,0.2258485075343849,0.9999999999995594,-10.15893047224765
131,131,1299.4869606687544,953.7946535129759,1.1022268304726642e-06,-11.016399050482626
132,132,3763.121411457888,875.0929007114805,9.047521620009806e-07,-5.236247240267863
134,134,13.31739902673984,-53.342754242409924,0.0023849329132569373,-10.249199839536642
136,136,177.38703737544841,835.6197822535357,4.461768523775809e-06,-12.008414639062956
138,138,0.09799523135841748,54.17849078081497,0.20827648903507906,-11.01311657846106
139,139,0.7611388756492146,8.271044758275874,0.1968587352692976,-10.653304715337383
141,141,0.1161390558568059,300.12339316516267,8.319106571665989e-17,-12.476649250079014
143,143,4.146727989366711,2.5199546528209025,0.5228376839082357,-6.280066601330194
146,146,6.458734182346122,2.3329762176026163,0.9999999999999831,-2.9227125431478873
147,147,270.9390889586384,1760.9242751279864,4.81797632279494e-06,-8.339526190530684
149,149,3.561227198179301,2.335774466391099,0.9999999999437791,-6.294200957818572
