,sub,beta,w1,w2,log_lik
6,6,-0.000363032091496665,-11228.062914345317,23658.74468855888,-10.291089403469504
9,9,0.3399483273035092,-2.0947327076350977,16.181209762139904,-7.218487009754068
14,14,0.8221264805607409,0.14051947432240575,0.8265096896534584,-13.755211367728666
15,15,0.24393289336230997,8.220822041001522,27.318099102719167,-9.368256079185302
18,18,0.3784159686009402,24.236910643222238,120.91086547881042,-3.1405442181868564
20,20,-0.014628134246650467,-1109.0341638892407,1496.305892482882,-2.162282751639769
21,21,38.97105104534636,11.986798814853868,13.476782188031853,-3.0569990983077644e-12
22,22,0.10639785854836759,16.51407463051754,34.30999279058163,-8.620697666311589
23,23,0.0046663104577498084,1584.7485622392646,645.2313669300156,-5.946660217091178
24,24,0.7692530545986467,24.59914278540078,-8.81184501868347,-5.605007974025382
25,25,0.03529323814625364,105.81721570943972,-10.585253314083882,-12.048003858378868
26,26,0.05506335259501808,49.987243254803644,5.039400866055354,-11.484027045114075
28,28,0.014065851095483185,399.585395910187,353.1413751264993,-8.25645416352806
29,29,0.8177961188203066,-7.745203488946252,42.71275348157628,-7.103136083074333
30,30,1.8511648782119403,-2.7496707297228076,7.837622860931014,-8.31830539488318
33,33,0.5330534436647861,5.257302898485786,-3.9930837021759906,-13.003193146610943
35,35,0.10916465454881139,67.56635698187995,-62.66863090717963,-11.387876022203756
36,36,0.007767124711558551,-396.50403418854694,7535.13234566386,-4.188318058820633
40,40,10.493539437186929,-0.40400706131740993,3.708503544104234,-10.594511568759318
41,41,-2.5440112387358385,0.19450892518624086,0.9800678569174661,-11.37569212876329
44,44,0.005658671293023177,3189.3372400804947,-2306.624083397578,-6.766095201776301
46,46,0.10406900672939925,72.68211365306934,-25.198043176082862,-7.038945265574827
47,47,0.8233656320698668,10.117539133107954,-8.329463704652582,-9.949605985032303
48,48,0.04111919823372029,137.86649092947414,-90.74091272682806,-10.416593753857171
49,49,0.9399519539690937,9.048956854807143,-2.146545512643149,-6.7060047847151285
50,50,1.1094842033564083,-1.4798006075938355,5.970784099661009,-11.602421418107044
51,51,0.51078750889118,10.329932452643487,-2.738250101681957,-9.222104060684469
53,53,0.36303831417962357,18.112290681933565,15.385137097264385,-5.504528821939594
54,54,0.42212826046538177,-7.411061714517644,8.767055647676258,-12.917139820038772
59,59,0.035114563132694884,318.0134276821466,-86.22724960940968,-7.195900591821913
61,61,0.747265855768761,-1.0276452997902803,4.106694304802306,-12.590739969419834
62,62,0.3696426499297477,63.55419775506677,-46.710433573621174,-5.469191001180633
63,63,-4.622859417584099,200.95131884567445,-50.440132695679296,-0.0783061182427579
64,64,0.5114291972612215,-1.6477242623865627,37.41297038418506,-5.310832316074951
65,65,0.6032081109605438,-4.713866025569307,17.257616120650752,-11.164046515417159
66,66,0.00010823511461496355,-61032.45915846887,73258.01483425642,-11.519977562648368
67,67,0.19093829220857966,2.5880775404787215,41.7953939970449,-6.912642141199774
69,69,1.2811028532265607,-6.710147388569829,16.826162950609294,-6.697737830790597
72,72,0.9004804277820848,7.200473010684673,0.36887236829193737,-7.336972264537879
74,74,4.134090133966735,-1.9318008664597754,5.105871804330123,-9.330104294736627
76,76,0.2614741867656839,-30.107253613355738,79.34850812554754,-5.029798839787932
79,79,-0.12247730797343111,-65.06886867946287,85.63571032380963,-8.399541508506244
81,81,-0.003986621467189089,-831.5127025773228,1254.4000471906184,-12.04544178702502
83,83,0.00242810376128171,1009.2925943622555,-1731.3259391673437,-12.270461784937515
86,86,-14.191120540973635,83.6208813013082,-35.979558376837225,-4.085624401432244e-09
97,97,2.233600456275118,-249.5922843540826,53.879291524325296,0.0
100,100,0.08828199247938939,42.37494009529985,14.482985241047242,-10.181308682546325
101,101,0.7135666838894011,2.1755638553218932,30.467558648185573,-6.094341127892002
