,sub,beta,w1,w2,pt_beta,log_lik
6,6,-17.45451277367268,-0.23352928475473148,0.4920706713349735,0.9999999999037067,-10.291089403539914
9,9,1.3913098167242026,29.97136954736644,3.3713936857213747,8.194343853642165e-16,-7.140734129831346
14,14,2.7715608641957434,-10.269962878747755,0.6774569751191806,2.919814836047009e-16,-11.969012877027327
15,15,4.995007577893701,5.805737328175827,2.0787010914119084,6.511824830216039e-17,-7.820224190016332
18,18,1077.1588347837744,5051.159226098111,0.11265344732998185,1.4088073180785388e-06,-1.6900561141639443
20,20,-0.29622617959196673,-54.76592800341804,73.89004408992692,0.9999999999999732,-2.162282751639898
21,21,28.80603734060219,16.21654819283158,18.23272326005418,0.9999999280243299,-3.0571101206102237e-12
22,22,9.710449258887156,72.89755345741177,0.38212481076835736,0.0006848063507033288,-7.88416012534217
23,23,315.49706305242626,5024.092579950635,0.007260768774095856,2.2200459428370015e-06,-5.518324822591492
24,24,0.17402533567069278,108.73671915579692,-38.95138341953121,0.9999999999995826,-5.6050079740277114
25,25,17.3792889654002,559.9206519848449,0.15469037683871323,1.1066841129643987e-16,-11.578623298569793
26,26,215.3265156739203,10075.938224344025,-0.0063476959550644975,8.832848173221327e-07,-10.388120183760199
28,28,0.6499088157047876,8.64812563865903,7.642951473972156,0.9999999999978617,-8.256454163548032
29,29,0.45951302571250324,-1594.162010899326,1138.4003493926025,0.04009677700686229,-1.6935786742487327
30,30,7.394421793910745,-0.6883691153210705,1.9621215827056073,0.999999998566823,-8.31830539511298
33,33,451.88623698145295,2916.7188058219554,-0.004371309624267128,8.564958483440429e-07,-11.793296093936716
35,35,0.046808930993102904,157.57377123988505,-146.15163319429723,0.9999999999991585,-11.387876022204704
36,36,0.29891030528370854,-10.303114441134626,195.79922639210673,0.9999999999966405,-4.1883180588257645
40,40,6.053548463565446,-117.67027342400452,9.320948308991031,0.0037249956204516506,-7.89233361766508
41,41,6.870969486623698,18.887844299745602,-2.289489085287531,1.0036379786621577e-11,-3.8103729824310766
44,44,0.19056037787871086,94.7069788892573,-68.49494290445827,0.9999999999957015,-6.76609520178442
46,46,2207.491551627857,2246.045893163648,-0.0018486924549560948,1.384224794215026e-06,-6.250734138480697
47,47,1.1316761505387214,13.1703049823956,-11.521627794283992,0.5344322614766086,-8.878741703294448
48,48,1845.908502253822,2889.667352958877,-0.00468569511145505,1.2729333732859456e-06,-8.368913395427752
49,49,0.03200194264409146,371.8804518324714,-115.89443385871246,0.42736879641699405,-6.0415842610365775
50,50,3.00565631423727,8.263514608716902,1.1583418664352232,6.260354034676277e-17,-11.321756656559351
51,51,66.63752757483329,53213.67353285301,-0.022932700585598043,9.490545441189069e-07,-8.277176730123387
53,53,35.095459953300406,0.18735762953907042,0.15914837067979948,0.9999999998554849,-5.504528822120788
54,54,0.8247784380262724,-59.68210100376382,10.64714070104154,0.05631239158043171,-9.83911619527333
59,59,0.3430761114420652,76.83652183949016,-9.930813382994899,0.24829151301055707,-6.591865082013571
61,61,373.0613792998792,1214.7131664561698,0.003495659167921941,5.55573663647906e-07,-11.900105515230324
62,62,5.163950627557465,4.549242197253201,-3.3435377398882284,0.9999999999782556,-5.469191001500519
63,63,-165.831765313625,5.601881157840666,-1.4061105598787385,0.999999993412306,-0.0783061203487794
64,64,274.846189101587,1292.0888162436227,0.058597778675175544,1.7834390508627752e-06,-5.284386647695398
65,65,204.41532518767664,-0.01921183777489739,0.05968579348222963,0.4489827155656767,-10.427151340897955
66,66,1.9747757011918852,-3.345261735060326,4.015348895442736,0.9999999976091547,-11.519977568502554
67,67,50.567411638953985,-0.02319228452882851,0.16267812861373315,0.25931145893104796,-6.901867698124769
69,69,0.3058428354420447,-35.42125168127596,75.71934545306699,0.7119077413385376,-6.5385448747179185
72,72,8.127528857478051,0.9718077847562177,-0.16607147140908757,0.5258456905493749,-7.215412522874765
74,74,0.31262735917284823,-25.980809472451003,68.34920868552106,0.9172279881619114,-9.300021352695584
76,76,18.479360426029864,-0.4262249980588617,1.1166521941248466,0.9334598409865498,-5.024896020787177
79,79,-20.980419093925484,-0.37984793512483683,0.49991230102940254,0.9999999999993405,-8.399541508731327
81,81,-9.247299532119067,76.73365866247596,0.09182970876151564,0.0005488786952274108,-11.903133883428746
83,83,-0.054497082207853445,-44.968776402260076,77.13878406735796,0.9999999999999948,-12.270461784937531
86,86,-6.291345698122211,188.61975785902655,-81.15723344107786,0.9999999982319362,-4.085624512455535e-09
97,97,10.63693668248876,-63.58458907090156,20.185253046397747,0.14977322596558718,0.0
100,100,0.05028825036744098,75.18946184376472,25.90261209918816,0.9302398214858079,-10.174524607981208
101,101,1.197072200825355,1.2968422556781833,18.161522998695705,0.999999999428967,-6.094341128017582
102,102,0.007862661790898643,940.1077804259183,998.9050669800374,0.13737905855943167,-6.741871207999397
106,106,0.8167757976022094,-1.348204836225079,9.262041598930809,0.9999999974181176,-8.63800931125713
107,107,23.71260453759259,-1.0842060425950872,21.749767351044447,0.7352340541827003,0.0
110,110,3.994930248642591,-9.45182846184078,22.650807726830422,0.34031412222384394,-3.8291062060783005
111,111,2.0664547252939194,7.599626768824262,-6.460573448595547,0.4731521290900742,-7.795679097491236
117,117,6.202567217952249,-4.734402461839002,1.3348233515606058,2.0317556627634868e-13,-6.948190639004207
120,120,535.1305104930964,2727.1770730482276,-0.0024909593390907312,5.35388576756527e-07,-12.039380320824476
124,124,13.343034563255689,-53.47655286368689,1.014785194486964,0.0023961599337141166,-8.346785067598379
126,126,22108.39666527773,283.39541760497565,-0.00028552893482733794,4.5054409183567103e-07,-10.354920382365066
127,127,46.38666951536476,-16.5580743111354,26.1003525968257,0.16714066658993337,0.0
131,131,0.15360969229300542,184.72489401587012,25.05506115676056,1.8012222547021743e-15,-9.967880917936885
132,132,340.5609221453533,501.550023485294,0.022289098648057254,1.049479300601014e-06,-4.543328507372423
134,134,-118.19769352740335,5.9731158456182865,0.05989783908033357,0.0003630806042833173,-8.359531183517593
136,136,0.5572299934086786,-16.308703915336697,41.13713200082361,0.9999999999992734,-4.6662537062626965
138,138,9.292436904184584,3.2014635222506103,0.3415708217117319,3.274028971490919e-16,-10.30904262674371
139,139,0.979551664464497,36.39031321211167,3.3562265304256043,4.11439583267444e-15,-10.358700093811251
141,141,4.268486761750136,1.505864319436366,-1.47725864523476,0.999999999998568,-11.471693994304992
143,143,0.08603138943308736,87.91372976679426,25.807890040106972,0.9999999999512611,-5.852915581414503
146,146,1.4521130257862884,16.6027702597556,-3.889486480461894,0.9999999999999649,-2.6459300360996263
147,147,29.680814007400677,13.989859351628573,0.3908967661265219,0.002492942711652175,-5.418776575503395
149,149,142.61007678565824,55.90178052048954,-1.3997883868295493,0.03219366182342047,0.0
150,150,2.2760041861073486,103.06932164605143,9.226484825201698,4.246502854768119e-15,-3.908490765453212
155,155,3.130093787054185,-1.1982617344728075,5.4185403325651444,0.5794143090524653,-4.050464733521338
156,156,2.9915520427406577,9.72455835569905,-0.09665410851635534,9.515000548540165e-17,-12.468268264536984
160,160,3.7811086142421946,-14.185439697978232,16.490106554300297,0.9999999999270387,-1.733065791687523
163,163,-2.0957181574848933,341.7397934411986,-12.530579483505024,0.009143610860002826,-9.591388367369408
167,167,95.38218999271986,0.08985314656124416,0.5134508700354083,0.9999999999959795,-2.5903409284675694
168,168,496.309208827887,911.5579168316528,-0.0012788971592730123,4.16730808679506e-06,-9.711031645566443
173,173,0.2622516343185417,61.70323799642959,28.142741602888155,0.392016134849494,-4.902246965224078
175,175,76.62816435484643,-8.33678509861257,121.20857461568465,0.6770918648834456,0.0
176,176,13.357394747650305,-0.7951498679756681,1.2665676209532628,0.9999999999832925,-9.080443639492206
177,177,17.83530024418919,53.68398098388878,-3.7089122903826475,0.5614108119474012,0.0
178,178,1504.719848120074,2233.189628328377,-0.0007333942020757052,9.217590294883102e-07,-8.179462757550892
180,180,0.6129478663259418,11.913554249431128,2.4754672059164147,0.2039353219481403,-9.360378632298316
181,181,748.135358120154,1190.596485125664,0.007933883651375982,1.19322916625537e-06,-9.08359917596437
183,183,0.2831798042071626,-49.147078413206046,76.27838639410146,0.568396097421115,-6.728341257168025
184,184,328.50246999468607,3563.35073978733,-0.00949015902468794,3.1500230503817475e-06,-8.432196340737297
185,185,-197.54285927063597,3.590879595850669,0.006428048415562059,0.00021950279215377018,-11.924891723082975
188,188,1444.522361896126,2616.372149175027,-0.0016939226736747935,1.1866345164669352e-06,-7.575712487083999
191,191,0.3477606930759959,12.084527765099299,-8.55271712547475,0.9999999999997229,-10.900652008164263
194,194,0.3696507388956868,130.9708115894602,-127.46669155341019,0.9999999999999998,-1.7729107741413892
195,195,-140.94969470379237,4.796540064021122,-2.484647912991294,0.8395559797438734,0.0
196,196,0.3181237029687587,25.93294046431123,-15.806771639068714,0.9683755762698537,-8.513560032135565
203,203,10.382107180421634,2.40732553758437,0.24700387587918066,4.0087473072461497e-16,-11.34882983562242
204,204,-130.0749208189876,-6.59708003075801,8.138571985703313,0.2617155958769505,0.0
206,206,36.017870616101305,0.4418677329302717,-0.34628470723341376,0.5528255446377046,-4.531359191702071
207,207,2.2418711694060254,-1.2459799618896064,14.593467631775228,0.9999999997576298,-4.044714902684568
209,209,-1.7438910474052007,15.140608128458089,0.34148794836968893,8.639022755598784e-14,-12.275675177370282
212,212,0.06998793431092953,21.98985569163022,22.680739581499026,0.9999999999999647,-12.827709461156573
218,218,729.0335403776257,2815.84778673124,0.019550049846958822,1.0511053492806667e-06,-3.6770153809503525
219,219,1.4539228177267662,-509.86372073510915,125.26565050104897,0.019390971479470893,-1.772820460481617
220,220,-640.6767087446005,0.025291801163534307,-0.013485971384066927,0.4244034483318334,-10.382065459088784
225,225,-4.188897101075912,170.35994840121995,-1.1676951527546113,0.002790521775864988,-9.737699449228463
226,226,194.78738978600444,308.0300137500136,6.360718287377789,0.0019381771129451794,-0.00010079476030344626
228,228,-0.6552525365403695,-5.291988682386779,6.186776614841256,0.9999999999993323,-12.661763582900491
229,229,-30.90514400521311,-0.21835894613153833,0.5323436366917111,0.9999999999611475,-9.742300135872348
231,231,1696.8358479008148,0.0013715412073039847,0.0007884560334458559,0.7458364206294692,-9.985837393068916
238,238,1.2670140374199106,-4.882143165734014,30.707402021761297,0.23511061601223074,-2.5012579258535164
243,243,0.06657717690885256,46.58856326847024,281.7665163834177,0.999999999997103,-4.174354328154112
249,249,-49.9290097796282,0.15692327260166677,0.1540551690681229,0.9999999999478841,-4.720134223540574
250,250,-14.180646115578782,41.01275023082184,-29.954421405395664,0.6759762852579876,0.0
251,251,13.665823506115728,-1.1298327267862875,2.7031754729247304,0.9999999999945663,-3.7572696479637813
254,254,0.2698747413530457,16.42543680757042,9.104423156141603,0.9999999999964575,-8.944645878925126
255,255,0.9344940791107228,755.2854732352284,4.789480111707302,0.0008800837855130013,-7.900111199762848
