,sub,beta,w1,w2,w3,log_lik
6,6,0.5306355653634461,2.342552556461886,-21.908198662570356,14.122934691892292,-6.940482705763588
9,9,0.014068008497495836,-217.85554107577298,387.2149894443677,279.81149590922075,-6.890017244457525
14,14,0.5097449031896867,4.160836384229418,-28.12607559098293,22.707641864484177,-10.001919073432909
15,15,0.023795685277931397,117.31504419028954,-1.3336284445318127,607.3574376685185,-7.692590257818926
18,18,1.293512113684902,4.562089888148879,34.40809055994426,1.8020672606341328,-3.029105297491081
20,20,-0.6988243413098261,-26.96332891636954,37.828064286927415,-6.606203711812421,-1.9362952958372692
21,21,50.459351022386365,9.374200043111959,10.001176462475602,-35.75107310351277,-6.613598557692973e-13
22,22,0.2798252005047397,11.42623878608972,10.344483074439479,-6.536273792301571,-8.330955685801621
23,23,0.5326890886312043,14.892441912749618,4.300403305662094,-7.564325117959671,-5.825699406586837
24,24,0.2732401178990889,77.248268800115,-26.086484030174553,249.14045538289244,-5.279064312723237
25,25,0.04628415186407601,80.90922158955803,-7.752336240404681,60.891741153744974,-11.840130216912945
26,26,46.20537824090407,0.051736413755082734,-0.14522957421461213,0.2530682211801966,-9.831527488713808
28,28,0.255419471650618,23.84930251077316,14.969336260634112,41.12444200671645,-7.799201857405287
29,29,0.6273891839022014,-5.929512769229234,84.79050284647674,-14.452615208672368,-5.047775176816233
30,30,0.34835126267738326,-17.107560894588865,59.33381580297966,-18.12320043251291,-8.0393345249332
33,33,0.011250777037634219,808.2932443965842,-680.9683958195293,688.9241894333736,-12.374428563328566
35,35,0.4622482802530702,30.267185634603955,-25.428881476085497,31.16050791058825,-9.903881201384335
36,36,0.2020454707477532,-19.51300895699599,282.02989349494806,314.53535811187135,-4.08653671527081
40,40,0.854014915109193,-4.552465369582905,22.031483820310317,34.09439181814994,-9.162175066878962
41,41,-0.6116293872905543,15.605946513433182,-0.46170553304070827,-42.16936901031613,-7.3009348406568435
44,44,0.30467118274218574,59.318820024839965,-45.11902703883119,13.510894438517449,-6.64692452031631
46,46,1.6609037833966294,4.589277691399084,-1.5977970050463388,-0.5132686652181948,-7.038608874424855
47,47,0.22306912588778652,111.51750556079003,-101.95531530024084,-68.6388282954651,-7.930312104691045
48,48,3.5692870897297664,1.572057416771652,-0.8098034683994709,11.171803704836641,-10.015258438722858
49,49,0.2818126513507497,30.80674997516269,-7.027684038131692,126.09038962772286,-6.628850119649872
