,sub,beta,w1,w2,w3,pt_beta,log_lik
6,6,187.410357059094,-3.7741127533298355,-0.03703381183508207,0.04749165110901066,0.0009684037556435795,-6.4376415971758965
9,9,2.8594980865353565,-1.3147634451842634,2.034590900763239,1.4087387001043443,0.7885538206622603,-6.871525714843916
14,14,1.9612339432021582,1.0814517582255507,-7.310308087833292,5.901979511200487,0.9999999999092165,-10.001919073585448
15,15,0.6991860828465599,18.099554486238592,4.847986091186941,20.74967087678128,0.004759508611209674,-6.103140845455844
18,18,202.7454432075608,292.6418303915091,4.7516993975020085,-0.551671741852948,0.0019694339916026737,-3.884983289036781e-06
20,20,-50.22221347550459,-0.3751859411149392,0.5263647457769005,-0.09192279547988302,0.9999999999914922,-1.9362952958623867
21,21,19.01074605446817,24.892310776241626,26.502292105056398,-99.49820586631891,0.9999924825822848,-6.856737400085836e-13
22,22,13.006039426522365,54.43780114756179,0.2853057190919285,-0.019555809189320678,0.000743234301593092,-7.878447113780347
23,23,1157.593668372941,803.0970610794159,0.0020075551067039003,0.0007810476007210406,3.729274761854891e-06,-5.51213401025552
24,24,2.4018660731575183,8.78787386428727,-2.967634355534945,28.342507843247454,0.9999999999904756,-5.279064312735316
25,25,316.9545880697834,869.2086727038001,0.0077099580389378,0.6138695338814004,1.6664360440299703e-06,-5.047400255283295
26,26,224.0845012432671,8559.272644348508,-0.04547519214907221,0.06283108075840894,1.0484127638074691e-06,-8.827106182962295
28,28,69.1815341278888,0.08805172182940119,0.055267477220678,0.15183350068346646,0.9999999999725542,-7.799201857507155
29,29,17.015339842278898,-43.08890386321442,33.54714329170136,-0.13036096930701685,0.043234528302160465,-1.627815508744783
30,30,2.082482696482708,-2.8617351781459583,9.925269821815569,-3.0316155816569386,0.9999999988115034,-8.039334525291704
33,33,802.6717562982158,2815.243506995461,-0.014650877252801387,0.023953116454102058,3.17498323261586e-06,-9.173657979370285
35,35,0.3146331615973015,44.467491935976824,-37.3592290764999,45.77993702364097,0.9999999999830376,-9.903881201394393
36,36,4.471794888664242,-0.8816365360987409,12.742723366224904,14.210963797267224,0.9999999998978253,-4.086536715384876
40,40,17.334638554150878,-41.02512953309636,2.0804634788567054,1.169295349617359,0.003274613099357288,-7.498378239097451
41,41,-3.9494215219788487,-134.38842141716003,6.473797750393654,-6.526091494326421,9.208430454315125e-17,-3.2679100808850645
44,44,17.348576431927054,1.0417416030737536,-0.7923684389573502,0.23727453814783528,0.999999999999555,-6.646924520316702
46,46,226.62373768854366,7762.210492217266,-0.018893147720680764,-0.028632624310642618,4.09722719113315e-06,-6.237507494666437
47,47,0.3079035190896611,80.79191180371134,-73.86432040556275,-49.72727966069795,0.9999999999999656,-7.930312104691087
48,48,1682.499031122099,1099.4937013324916,-0.005511308550774408,0.03369031225672618,4.283077613361772e-06,-7.779193646022723
49,49,0.2570316112784069,91.89314234964286,-24.43149484671377,1272.427889525602,0.36593901253540334,-4.873661202767803
50,50,1.431193263641557,17.413566423420335,7.851662077348175,-5.405328215143101,1.3716549265670213e-13,-11.131954978030977
51,51,1239.3146657117568,1016.6078493050813,-0.005244323137204441,0.004674924092600095,2.6221559083531575e-06,-7.626863830820645
53,53,59.24001483971726,31.48903201364992,3.924567537172239,-29.48555748866481,0.03777190385872617,0.0
54,54,3.870427674540152,-5.117408131627583,3.4988704233558243,2.403249546930539,0.5334854238167782,-7.797191718780477
59,59,1.0975876056470892,21.077972537410474,-11.635171126070201,9.344168166986833,0.4461593109690586,-6.077951429190865
61,61,222.40662586980096,1913.469084165089,0.005814830310580261,0.023506492418466217,6.346957724687296e-07,-11.89838621238652
62,62,1.096465526349685,22.73797260492038,-17.05496831070964,6.760725970183569,0.9999999999999889,-5.453414208482363
63,63,-462.7604944060762,0.5959732113241656,0.8017797965476077,45.523405606855306,0.994375906105029,0.0
64,64,815.0501017380478,256.8200414826258,0.028275242461373022,-0.09276876528989844,2.9004021887720567e-06,-4.925265635318014
65,65,3.036683558155218,-1.3762652811609928,4.012827056719402,1.5472005584171387,0.5077502629377211,-10.377395175536414
66,66,0.8249914113572779,36.84033620319846,-1.1730999083999791,8.549520121132716,3.261131239982325e-13,-10.659316515642786
67,67,3.3225469300989965,5.660148411739872,1.1137567917445068,2.1559310543741064,4.916420739719729e-13,-5.1107499503664435
69,69,168.6415992180746,-0.18637715223564144,0.3282721871679319,13.185227763967333,0.9997812921444058,-1.7169522457264546
72,72,0.13517787119294256,69.58594871583782,-19.6286909230338,-49.002144749486035,0.999999999999998,-6.648602017845004
74,74,3.54922462468811,-2.7613526978484293,7.056339364552858,15.97745778285939,0.9999999999866953,-8.653095428371653
76,76,6.105442909323386,-1.3607514515769368,3.2099975156828,0.3133567570617299,0.950958725733736,-5.009529782924699
79,79,-10.263690469653813,-0.7156436285520948,1.0136162019782602,-12.35751108857361,0.9999999999862459,-7.532869905557992
81,81,-0.9331784776232781,-4.821577058289206,6.172178373820925,51.9911819313744,0.9999999999978033,-11.36071003716193
83,83,457.8834189331681,2.9947248887770335,1.67327681747972,-3.727433883880903,0.8924073450789418,0.0
86,86,-15.255694191969205,40.53012581825291,-12.142764410488553,-27.575657119069604,0.9617396338729565,0.0
97,97,-4.585654978611431,111.83452741743454,-17.87679008855046,-20.594391609403147,0.5820306689966857,0.0
100,100,7.7293576436526035,-0.9507766716291521,2.149723338376517,-2.8553744111567942,5.3453118058709154e-11,-6.573744854350484
101,101,2.582539841825264,-74.448729763649,54.339603677534335,79.19152070238621,0.30596936865943825,-2.711717157152577
