,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
6.0,6.0,-13.859064322962587,-13.847739863486956,-13.350580377222396,-12.476649250079015,-12.008043442833658,-11.781885676902206
9.0,9.0,-2.957933109568797,-1.636664830120553,-9.48507938860145e-12,-2.8883781767959893,-1.6366648301208548,-9.489742325304962e-12
14.0,14.0,-12.325638692714884,-12.247222171091725,-12.14353802085375,-11.360423117227196,-11.21176572645664,-11.141627439385859
15.0,15.0,-5.155224449689679,-5.036758248193197,-1.2883033705775278,-5.036162730091995,-4.9742551854143935,-1.2881922131050365
18.0,18.0,-8.70956864557676,-8.463647591633036,-5.503357583595527,-6.564105904368492,-6.499251338854749,-5.5005052186205745
20.0,20.0,-7.832388548307137,-7.6537461870952095,-6.865385954810958,-7.646374391444463,-7.412713090653919,-6.409976458989105
21.0,21.0,-9.405157097622734,-9.320913664543609,-4.340176189232775,-9.21844601817481,-9.209411691333221,-4.3401761892457325
22.0,22.0,-8.80648694712194,-8.17066972938734,-7.907755618847819,-8.34607527937123,-7.880594384360718,-7.838168646962736
23.0,23.0,-4.062924330581415,-3.8813149264762523,-3.8586948769760214,-3.5080690653108757,-3.0257875634790765,-2.7211574183079863
24.0,24.0,-4.179281558547785,-4.172222076423932,-3.705995779467945,-4.179281558554527,-4.172222076424647,-3.7059957794678215
25.0,25.0,-12.013402651810818,-10.98817216141829,-10.201252169804693,-11.848577646241441,-10.930990183343889,-10.20125216990416
26.0,26.0,-7.9779759374041,-7.684499169175492,-7.525782821547224,-7.246408910431993,-7.082543845086608,-6.980742397450647
28.0,28.0,-5.890236417002454,-4.190888646884541,-4.17036017405465,-5.216143031272312,-3.8268852899044936,-3.8139136504444413
29.0,29.0,-12.347086672815738,-12.343579315771308,-10.266341591185872,-11.515194597982715,-11.372313246521447,-10.049905428075055
30.0,30.0,-10.505909808517934,-10.076444454168618,-7.6513174285353305,-10.336331999138336,-10.023808607904519,-6.947586205780555
33.0,33.0,-11.932994149907982,-11.186059085035785,-11.18403438079621,-11.932994150309032,-10.711469672926924,-10.569278313158614
35.0,35.0,-13.435738702264295,-13.297249730537901,-13.248508760209686,-12.47664925007901,-12.469888193579697,-12.46942476563828
36.0,36.0,-9.997793286384297,-9.958848795856644,-8.046568361075517,-9.997793286390536,-9.958848795861435,-8.046568361104073
40.0,40.0,-13.331790383360559,-13.037310846977597,-13.02776107636178,-12.261352653545007,-12.073985240578217,-11.72208888639185
41.0,41.0,-11.658540508771447,-11.57803677759151,-11.479589393909963,-11.146807232598311,-11.026991888743245,-11.017744164448766
44.0,44.0,-5.696059828463107,-5.4644380033788424,-5.461464065659923,-5.696059828480646,-5.464438003378884,-5.461464065829447
46.0,46.0,-6.236682146491903,-6.171490400490857,-6.1076814031693125,-6.189893276314419,-6.115817598368526,-6.033296788905568
47.0,47.0,-12.51058097389565,-12.0985542658862,-10.409502194187835,-12.510580973956586,-10.568070487713808,-10.04817049543523
48.0,48.0,-8.71101708756729,-7.169854865765381,-6.300889127689643,-8.637627865907097,-7.1698548657678725,-6.300889134320627
49.0,49.0,-5.936769912695542,-5.693547531878106,-5.686735610123522,-5.853980202697885,-5.256603421417946,-4.697331901729736
50.0,50.0,-12.776554655304599,-12.68893687552587,-12.665076789254202,-11.880763688939554,-11.874093939789969,-11.868924776922288
51.0,51.0,-9.7422980439643,-8.613458545888786,-8.411388764557682,-9.602684094099644,-8.604738988631835,-8.409236457000382
