,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
6.0,6.0,-12.284673799868012,-8.098125618511006,-7.850082368590844,-10.935469340627048,-8.098125618526604,-7.850082368645939
9.0,9.0,-9.98885186765179,-9.018688951622414,-6.85083933316848,-9.647018210790257,-8.885475158825527,-6.479503620625053
14.0,14.0,-13.802891075490527,-13.750182653308551,-13.502232672390319,-12.476607076463806,-12.263880387151188,-12.083233253018964
15.0,15.0,-10.209804811999835,-7.074336255476296,-7.000557384839964,-9.047705725771465,-4.018762285897311,-3.6848157986994368
18.0,18.0,-9.288718305583215,-3.1405442181868284,-3.0291052974909976,-8.678793902584687,-1.6900562268654626,-3.8532981486825625e-06
20.0,20.0,-9.047158057480424,0.0,0.0,-8.662638279920728,0.0,0.0
21.0,21.0,-11.491493904322196,-3.0569990983077636e-12,-6.613598557692982e-13,-11.491493904434755,-3.057110120610231e-12,-8.922862448914415e-13
22.0,22.0,-8.967861659496508,-7.656064323333122,-4.806265893729171,-7.670025745961644,-6.63809470083819,-4.1993628815782325
23.0,23.0,-8.712656559056475,-8.651604650390205,-8.646675267016052,-8.520717820154434,-8.437223183002876,-7.97602911675591
24.0,24.0,-6.369419158628597,-4.686839481427125,-4.625627569376766,-6.247351428735408,-1.413333906983779,-9.32587340685133e-15
25.0,25.0,-12.199789516238285,-11.766584418558576,-11.75811130545953,-12.150513129620737,-10.952566851881139,-10.145516290147444
26.0,26.0,-8.457438189265954,-7.958110170870376,-7.638780560037316,-7.567189927781035,-6.841143632715916,-6.645223584556894
28.0,28.0,-11.421124660898045,-11.420728976461241,-11.41935334284841,-11.421124660899586,-11.420728976507034,-11.41935334284844
29.0,29.0,-12.11310173916483,-5.375041046330992,-5.336744640109315,-12.113101739165362,-0.05413793989969297,-2.2116863895944856e-11
30.0,30.0,-11.994355218842436,-8.304941321776173,-8.302662322661192,-11.994355219768599,-8.304918112206057,-8.302595699943568
33.0,33.0,-12.89552134957805,-12.06188267091098,-10.811403385510244,-11.888341616019286,-11.164813137195708,-10.727129852465103
35.0,35.0,-13.840249975700623,-12.856912494906183,-12.535523711686022,-13.840249975773721,-12.790065131125575,-12.490136251251394
36.0,36.0,-10.963120667552658,-3.7704285853002615,-2.5495261363969153,-10.96312066755784,-3.5966062796957834,-0.26106029398055985
40.0,40.0,-13.853598296198497,-9.454712689073538,-9.312334369116517,-12.476649250079015,-8.839569042454269,-8.761311986789881
41.0,41.0,-11.422696353353993,-11.375692128762287,-7.300934840656263,-11.422696353379223,-3.810372982131799,-3.267910080897032
44.0,44.0,-12.360562032005548,-10.831953434377397,-7.109291983704453,-10.756975594318895,-7.992263454744055,-6.883274434351783
46.0,46.0,-7.226570175309709,-6.247209516222616,-6.234813872425914,-7.037042854573603,-6.1235631186831565,-6.079725731320048
47.0,47.0,-11.50010912289439,-10.050227165378317,-9.933575612966926,-11.500109123100774,-9.276865237956837,-9.030902852512101
48.0,48.0,-10.300108053585365,-4.753468146306077,-4.031952450247738,-9.540187201600084,-4.0356524353467735,-2.465704110294196
49.0,49.0,-5.628914896635012,-5.381904894062968,-5.328251418299549,-5.126526428147271,-5.04613394975848,-4.597178675996665
50.0,50.0,-10.23251069546503,-9.984214418281454,-8.543456834054934,-9.948654715125587,-9.65304501801395,-8.072499123381366
51.0,51.0,-8.271037616912231,-7.947038605028636,-5.995670330904456,-8.27103761693182,-7.9470386050286415,-5.995670330935057
53.0,53.0,-7.268337454421045,-4.945082236078033,-4.3955157618739555,-7.127163328267783,-4.945082236082516,-4.395515761874249
54.0,54.0,-13.83301650665591,-12.350219579814926,-8.007559924410234,-12.476649250079012,-9.460123349628748,-7.515632447204456
59.0,59.0,-9.186207094951508,-8.848731722130886,-7.594692235064757,-7.259802919174422,-4.8725143339063415,-2.4058428660238893
61.0,61.0,-13.207252221565803,-11.731839531923965,-10.478330056976572,-12.44152271431918,-11.68242267317988,-10.478330057003983
62.0,62.0,-7.554154921652977,-6.049746722928487,-6.044548418084199,-6.342069665155085,-2.700958209735102,-2.651880305508703
63.0,63.0,-1.3862943611198906,-0.07830611824030527,0.0,-1.3862943611198906,-0.07830611884002596,0.0
64.0,64.0,-9.501997700427257,-7.5839407638008085,-7.556637830870247,-9.501997700429772,-7.443654379946361,-7.11513165609363
65.0,65.0,-12.186688454977268,-6.111325462712342,-5.9559992342870425,-12.186688455082985,-3.2581769625842036,-2.634531317134754
66.0,66.0,-13.862871257312202,-12.69277857864542,-4.871296275755151,-12.474612893792347,-7.662952467767598,-4.4075902727001255
67.0,67.0,-11.820462380707172,-5.996472680211231,-5.9964319299236655,-11.231139085371396,-5.996472680347572,-5.996431929924811
69.0,69.0,-12.714129341380673,-10.624996097518206,-10.489298809864561,-12.714128586775086,-10.245718074057752,-10.245649747754893
72.0,72.0,-6.070877073941898,-5.836089701492174,-5.2277656203139315,-5.5513651962611394,-4.561103529928179,-4.484281583552313
74.0,74.0,-13.813129794744512,-11.902677479132938,-11.497037271670234,-12.399687993779736,-9.378739703720047,-9.15135377600536
76.0,76.0,-8.076010371330113,-4.104655314477596,-6.106226635438368e-15,-8.076010371649485,-4.046835488873946,-3.7747582837255346e-15
