,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
6.0,6.0,-13.79151244336959,-12.078536449264766,-5.820631352014141,-12.476649250079008,-12.078536450098165,-4.1011486702099855
9.0,9.0,-5.208207101847012,-3.7596170287928796,-2.587014644656661,-4.794066200774418,-3.752971992813035,-2.587014644659459
14.0,14.0,-13.778517622446836,-13.734375791461652,-6.9784356946020605,-12.476649250079015,-12.32965659007636,-6.978435694885838
15.0,15.0,-11.295634451126778,-9.779710302008407,-5.572841486029909,-10.847457258482075,-7.757370207240234,-1.3862943624069077
18.0,18.0,-9.288718305583215,-3.140544218186827,-3.0291052974910464,-8.678793902584681,-1.6900561224767574,-3.6753428272804215e-06
20.0,20.0,-11.17909668140759,-3.4333163329535537,0.0,-10.827713560850727,-3.433316332955938,0.0
21.0,21.0,-11.491493904322196,-3.0569990983077644e-12,-6.613598557692978e-13,-11.491493904676203,-3.0571101206102278e-12,-6.650235917505668e-13
22.0,22.0,-4.66715841263001,-3.221084512000424,-2.9040861265022646,-4.0546890789744205,-2.2778815873737415,-1.564180877721371
23.0,23.0,-9.10447507545162,-9.09072615349085,-8.180439399450876,-8.27582314146413,-8.274903826667224,-8.109091287007082
24.0,24.0,-2.595701993686489,-2.511565048718887,-6.938095657722691e-05,-2.5957019936874985,-2.5115650487371983,-5.2576379588296626e-05
25.0,25.0,-12.340241000316325,-12.338325825821956,-12.136280221983286,-12.340241000461432,-11.68256967633625,-5.519330885084094
26.0,26.0,-10.926569455854064,-10.72677239403388,-7.512538706716101,-10.383286530162868,-10.27174699564604,-6.9200768079519595
28.0,28.0,-9.498954351584425,-9.245728906390806,-9.222802291420237,-9.49895435160775,-9.245728906395641,-9.222802291430723
29.0,29.0,-11.314406342136397,-6.497431205312695,-2.714182060734303,-11.314406342139458,-1.9982897763523846,-0.0033711650762943213
30.0,30.0,-4.947663021957186,0.0,0.0,-4.780137972069414,0.0,0.0
33.0,33.0,-13.025318371464571,-12.819577433943415,-8.864336586675165,-12.13843475323095,-12.022992326787266,-6.254496856019887
35.0,35.0,-9.978087278841636,-7.437984709867117,-5.7007244549535105,-9.680614224940516,-7.437984709928265,-5.700724455021504
36.0,36.0,-11.343564407623113,-0.6239856144774207,-4.2075452092784766e-08,-11.343564407640686,-0.6240156567270673,-1.3587204858327574e-08
40.0,40.0,-13.860806843028428,-6.543086312427948,-5.692965563105201,-12.476649250079012,-5.335479659106157,-5.335187912681098
