,sub,beta,w1,w2,log_lik
3,3,0.03692442453929155,289.77519595868057,-176.82570855388747,-24.748648436992642
4,4,0.0920028705916949,67.04317655216752,70.99874162400374,-26.201426531052793
5,5,0.18016444364135376,74.41227200012123,61.912933949345366,-23.5563872916918
6,6,0.019022032598622292,113.07005399065747,21.529390452890603,-30.887127915478302
7,7,0.06112976147216671,-27.457101985998555,172.79633222111352,-27.01904139448197
8,8,0.0357863077475096,-54.0889810285948,201.1757412675882,-29.30650018752894
9,9,9.675163183362779,2.5383689746176983,163.96695268135784,-21.99274254717963
10,10,0.06182703469906464,9.289613311120299,133.68992101827246,-29.247522760898946
11,11,0.11287022743634928,52.81580820069787,86.18282359031988,-24.088401952183776
12,12,0.035939985026821546,86.07019253998888,50.93640236429328,-30.95516704987716
13,13,0.044862114122545774,127.38650350613143,5.445864193549491,-28.39933773914432
14,14,0.041196175372029964,109.48872536970768,25.2032548186762,-27.86136779577199
15,15,0.020352851912821615,76.33461224645743,61.755136828964964,-31.754167290382526
16,16,0.01169787531437449,1.3331964668650027,142.84510255081034,-32.40841602467848
17,17,0.707321712905163,141.56537795862852,-17.712538993833142,-22.082832945282988
18,18,0.061460218284516914,11.928272702503309,130.86966242040677,-28.70429531128558
19,19,0.031778282099618124,114.14272581760837,20.19694301781834,-29.620522633237677
20,20,0.11633576106459322,11.484504457845524,130.64271808609453,-23.63925653704836
21,21,0.0020255052665692857,393.51348080331263,-296.0552323781983,-33.491150161140375
22,22,0.07110248258658122,108.09941121204457,26.373426641382967,-25.701403220468023
23,23,7.7099588561103,-95.19493767923382,239.60404626354983,-21.123967280875675
24,24,0.30081000720090223,133.58139538008083,-4.3716486005501825,-23.332289132718877
25,25,0.008729684302451662,122.66496140649173,11.08325476051411,-32.9464963586219
26,26,0.10088210408478447,27.794651829085836,113.33894052536314,-25.470164920853733
27,27,0.002143213744044158,424.3218248053154,-332.0581872160084,-33.0850606155352
28,28,0.030683073711842174,70.00090460565649,68.5302569252801,-31.51268334276336
29,29,0.035061680702553624,105.95712572520296,29.156835855437592,-30.098187893846372
30,30,0.0031821775873959205,454.4742430851762,-367.5257282115052,-33.1349899577405
