,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-12.420125357630111,0.0,0.0,-12.420125357631527,0.0,0.0
2.0,2.0,-10.40910005527989,-8.194412390056117,-8.179502639137331,-10.409100055293095,-7.827656528711546,-7.8193527395130005
3.0,3.0,-13.836870626897156,-13.60272743807336,-13.598614121906785,-12.476649250079012,-12.107148055456083,-11.272615065155115
4.0,4.0,-12.682050226416612,-9.293346400463937,-7.567946214109118,-12.678725339508599,-9.293346400547913,-6.876155236699804
5.0,5.0,-9.376876538102191,-8.984162801514657,-8.362905820780222,-8.1986454756154,-8.022122989671862,-7.852954990939997
6.0,6.0,-10.984694289770257,-10.875358085534812,-9.114088222561918,-10.083397525020676,-10.081178270141384,-8.482159820781288
7.0,7.0,-12.129771745286964,-11.967955839910816,-11.795839410129421,-11.611435570431075,-10.737765467074937,-10.558148008590628
8.0,8.0,-8.673678048440223,-5.589924099004861,0.0,-8.673678048497012,-3.7919600293445086,0.0
9.0,9.0,-11.308257370699392,-9.724429974802257,-7.646442324114756,-11.30825737071661,-9.724429974815852,-7.125359796097707
10.0,10.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
11.0,11.0,-1.3866700825921583,-0.01352288283002119,-0.00028583263463734243,-1.3866700825941614,-0.013522882831711228,-0.00030536664038986137
12.0,12.0,-13.638612075325275,-12.339589984562705,-12.337837790418513,-12.476649250079008,-12.164825961503556,-11.83727449296133
13.0,13.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
14.0,14.0,-7.407801818541629,-0.00018115919498808418,0.0,-6.896334501376741,-0.00018115959275696514,0.0
15.0,15.0,-13.656059385022653,-1.1580181258403979e-11,-2.46913600676845e-12,-12.04998427295749,-1.0625167412613278e-11,-1.1206591210570842e-12
16.0,16.0,-11.10379624413969,-9.789210739394278,-9.599131019120598,-11.100612420243133,-9.789210739394415,-9.599131019120243
17.0,17.0,-11.322658023849348,-11.294483699975839,-10.68721113315185,-10.676355351190448,-10.667295662663191,-9.469870718899033
18.0,18.0,-13.031141561459052,-12.70177441370598,-11.052327854098579,-11.983491820987096,-11.60785569815723,-10.284336394767442
19.0,19.0,-8.185580637313898,-8.121989485131946,-6.889994126312833,-8.148169584637772,-8.097703290208946,-6.889994126316379
20.0,20.0,-2.5022412683876962,-2.9976021664879504e-14,0.0,-2.495101097820815,-2.997602166487953e-14,0.0
21.0,21.0,-8.775652501389805,-8.107466503505995,-7.345645315787586,-7.924573266334141,-7.197688011057746,-7.121441070449709
22.0,22.0,-13.060007693193223,-6.046846137437265,-3.7440573430238286,-13.060007693195761,-3.640875736217551,-2.6310976248629228
23.0,23.0,-8.34740286164062,-4.064516262267518,-4.004780467911421,-8.347402861649266,-4.064516262275175,-4.004780467911733
24.0,24.0,-13.565687867681055,-13.16090162562085,-10.973025819949449,-11.865586832078222,-9.756542048554705,-8.027375518021925
25.0,25.0,-7.001921840036784,0.0,0.0,-7.001921840037005,0.0,0.0
26.0,26.0,-13.61878668720527,-6.87729899098572,-5.349732825988914,-12.177625308360128,-6.877298991051504,-5.004154032809249
27.0,27.0,-1.3862943611198906,-0.09297103280316157,0.0,-1.3862943611198906,-0.09297103328427855,-1.1102230246251565e-16
28.0,28.0,-13.825000968738548,0.0,0.0,-13.825000968739612,0.0,0.0
29.0,29.0,-13.802322655265982,-12.672320821634141,-11.703584554000589,-12.461401268112164,-12.456569061273873,-11.179715126405586
30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,31.0,-8.169043741866329,-7.260723983298993,-7.259037925968913,-8.01628417016666,-7.151184043937993,-7.12697053875451
32.0,32.0,-12.651473281569949,-12.001399272744218,-10.507462716829982,-11.512292100809947,-11.28711687032327,-10.406595039910707
33.0,33.0,-8.652892311573707,-5.503148246134899,-4.8540695974823835,-7.830719277624609,-5.503148246643558,-4.854069597499105
34.0,34.0,-13.774123695365736,-9.941760830398792,-9.647615561300222,-12.476649250079014,-9.941760830398797,-9.617574704769844
35.0,35.0,-11.279131826959732,-6.730472399193014,-5.531352375028183,-11.279131826961722,-6.730472402747832,-5.15533049503358
36.0,36.0,-13.461700622515487,-12.603028061279014,-5.600140130425478,-12.272291418497751,-12.14227857133444,-5.600140130420786
37.0,37.0,-9.370824914051779,-7.789038911950524,-7.515353754057639,-8.102192397880867,-7.0856520947345345,-7.080805064802942
38.0,38.0,-4.538791303067121,-4.36546702003613,-4.213114904821852,-4.012228448535178,-3.990213096553133,-3.6863031250322558
39.0,39.0,-13.741866500453417,-13.611257672091757,-12.855469945731649,-13.709851533044066,-13.585852676843922,-12.563042110133598
40.0,40.0,-2.4481633464733506e-08,-1.845448464800641e-08,-4.450306789823619e-11,-3.430589146091771e-14,-1.1102230246251565e-16,0.0
