,sub,m1a_ll,m1b_ll,m1c_ll,m2a_ll,m2b_ll,m2c_ll
1.0,1.0,-12.420125357630111,0.0,0.0,-12.420125358370552,0.0,0.0
2.0,2.0,-13.463383061086457,-13.45891312189603,-13.266207868409136,-11.090354888959114,-11.034349540907401,-11.034175845555545
3.0,3.0,-13.811123103448177,-13.795382633345799,-10.571621219387024,-12.476649250079014,-12.465296293786198,-10.432728864004641
4.0,4.0,-11.054241504060096,-8.676888726924819,-5.389475676922223,-10.316749170853335,-9.83910105770823,-5.345882000992506
5.0,5.0,-12.21717726443513,-12.212094622100619,-12.192708857044723,-11.837457380652177,-11.71927205555413,-10.297570074395153
6.0,6.0,-12.976433122764234,-11.08546755584916,-11.070016571627932,-12.476649250079015,-6.7307311798910305,-6.729817357028943
7.0,7.0,-13.232363148190728,-12.791888386683313,-9.015999289692536,-11.9386105878635,-11.46144794749286,-7.753958354349767
8.0,8.0,-11.936946562056766,-7.901621935024641,-6.725780831765998,-11.93694656213028,-5.256641426542877,-4.9510934116679515
9.0,9.0,-7.323382081807552,-4.23474744347034,-3.8075510715923486,-7.323382082004172,-4.148501823392852,-3.7042853509074134
10.0,10.0,-1.3862943611198906,-1.347545018744095,-1.1102230246251565e-16,-1.3862943611198906,-1.3475450187440958,-6.3282712403633986e-15
11.0,11.0,-1.3866700825921583,-0.013522882829913324,-0.00028583263463726545,-1.3866700825930318,-0.013522882832087576,-0.0002888070601764082
12.0,12.0,-13.862920034050545,-13.42328550130332,-7.9484656899810435,-12.476649250079014,-11.372256106376055,-6.57716192449136
13.0,13.0,-1.3862943611198906,0.0,0.0,-1.3862943611198906,0.0,0.0
14.0,14.0,-7.407801818541629,-0.00018115919497524433,0.0,-6.896334518074965,-0.00018115919801164166,0.0
15.0,15.0,-13.656059385022653,-1.158018125840398e-11,-2.469247029070907e-12,-12.049984272941419,-1.0625167412613272e-11,-9.869882688921065e-13
16.0,16.0,-13.419617601404074,-12.88351739438662,-11.619761225514763,-13.419617601409767,-12.83712556473839,-11.510746367819886
17.0,17.0,-13.589262060377685,-13.556591995934674,-12.827987583695807,-12.476649250079012,-12.37828425496311,-11.776832392132336
18.0,18.0,-9.249779189988766,-8.642090810283246,-8.61576138719103,-9.249779190028637,-8.101177253906636,-8.017075956678427
19.0,19.0,-9.49427490596785,-7.678919527921394,-7.519705830176391,-9.494274905972572,-7.678919527924943,-7.519705833163247
20.0,20.0,-7.665249377939287,-7.319681708950376,-6.8798013664740685,-7.665249378030012,-7.319681708950384,-6.87980136659957
21.0,21.0,-10.346716137599245,-10.190872735437683,-3.7350268334049255,-8.378941870986996,-8.241612319186126,-3.5010535823608335
22.0,22.0,-10.862394086136455,-5.4212594525020235,-3.241622446552567,-10.86239408615655,-2.843658186125928,-2.4872488516549707
23.0,23.0,-8.420290664148679,-7.581797996283753,-6.028934662047121,-8.231841905576456,-7.405668463876341,-5.6447344446212
