,sub,beta,w1,w2,w3,log_lik
6,6,6.339204847318122,0.19625861892158614,-1.833867488973902,1.1820768232034422,-32.51846921164823
9,9,6.267350153799218,-0.4881595511925539,0.8686400287167042,0.6277347305510713,-32.46774909764969
14,14,6.279227694105096,0.33783329465452533,-2.283110219368719,1.843277962828118,-35.57969158136828
15,15,0.15129018580581982,18.495898229831255,0.15663635438029436,95.29857151370615,-33.24794338517579
18,18,0.4116361224711744,14.318304654864155,108.20015425308941,5.681736976824812,-28.573064725554133
20,20,-2.091323704146105,-8.945402135375277,12.565789818208447,-2.1968093820481016,-27.542535007932333
21,21,6.295960205133904,26.39612345564696,30.495460304449495,49.98310823069811,-25.54062020148392
22,22,0.10283290211490215,30.67363245419242,28.52364427526781,-17.554506107906057,-33.89095210037067
23,23,0.2564554409195543,30.839315828811557,9.045002003153183,-15.39067040115157,-31.38987590969319
24,24,0.8475629771077234,24.911702162127405,-8.406440967191429,80.35286775385562,-30.831570827689355
25,25,0.10916055349602025,33.868745721618126,-2.805718422690452,26.10670041006245,-37.3980918977951
26,26,0.11041221036036014,21.79314809617609,-60.021290238505856,104.90012986402678,-35.39985310937372
28,28,0.21338814347269075,28.51720692520017,18.046342058371742,49.29998098001826,-33.35029846068798
29,29,0.282145989395021,-12.886089200081688,187.88853610710714,-32.21492882762864,-30.598112159427195
30,30,6.261838552317272,-0.9513587584123325,3.3003323153246447,-1.008193444387127,-33.61703798830122
33,33,0.26445355240593543,34.41289343787129,-28.981779296913615,29.36770574305665,-37.93789700989429
35,35,0.4087855020221445,34.21881041192934,-28.721076032940434,35.30215399745137,-35.46559111702819
36,36,0.8596577951284424,-4.530724579888215,66.39540439165899,71.90092944711846,-29.642222356481508
40,40,0.40181269771384576,-9.690687418699733,47.55319918116524,72.04227209998406,-34.72915003831922
41,41,-0.7409454497576635,12.882524739338212,-0.39335745189020754,-34.774385225809624,-32.89090376640684
44,44,0.5751312847982637,31.419736027790137,-23.893970223282125,7.214324879602826,-32.21405291715604
46,46,0.22912973174228124,32.78220913825816,-11.294346136428207,2.4633261005992666,-32.6046002258093
47,47,5.265602995821875,4.727529256906669,-4.322206594995901,-2.9099305569440217,-33.504974757035576
48,48,0.38726034702209416,14.59701410051654,-7.591851945019395,102.29822873401592,-35.573321325685164
49,49,0.3900170567260022,22.25258484923429,-5.079493777297549,88.80333293062918,-32.182894422409866
50,50,0.05819168078823231,-18.45079999716131,193.62304376473057,-91.30673679791684,-37.098928118091656
51,51,0.14670237535713954,34.41831704815577,-45.682513358574155,42.70686639114826,-33.994221865612936
53,53,8.910613769009219,26.300243572567027,17.100047595528586,-64.09470736835863,-25.575765098003288
54,54,6.682080261618332,-1.8181949219745825,1.3222666346889111,1.4859870460445528,-34.41635922507174
59,59,0.538430245199096,33.369960833292524,-30.84888268561073,24.783336263772867,-31.880733123256384
61,61,6.664643345706437,-0.13902534930235305,0.45930636141223424,-3.928604952765923,-38.12242204074959
62,62,0.7961666204116886,31.44270134286132,-23.607017848480435,9.987447786581608,-31.019008198967683
63,63,-9.639220290715699,39.04341279382193,-6.319233861306023,157.11894218396097,-25.651397653611518
64,64,6.945195865041197,-0.11799051558059503,3.600349105505706,-10.97081417502746,-30.512559223969266
65,65,6.065630664354606,-0.6383768391246496,1.8444533876652731,1.6471281351337854,-36.496697183082276
66,66,6.4846660739074995,-0.9762266875693221,1.1630176563693433,0.12975481815113735,-37.058316048983585
67,67,0.08276241841472871,3.0563052780338835,51.07312347349158,84.3822139563706,-30.70241734683569
69,69,13.09632535489709,-2.3926859104463447,4.220397511472099,169.78267886104294,-27.304545546701586
72,72,0.3475793807920001,27.005388695573096,-7.538277330932244,-18.987041229328465,-32.22063478395464
74,74,1.062665042315905,-9.221679900060813,23.580025737813273,53.67793073312018,-34.227065409159636
76,76,6.315908614359332,-1.3223139879816215,3.1067095195343453,0.3256456844197289,-30.5898814628289
79,79,-3.5820515424813824,-2.048049419811231,2.9004820892773155,-34.959450561738244,-33.15585387817862
81,81,-0.5966556571193318,-7.50877098002189,9.626420067899204,81.62610999377884,-36.94012995589944
83,83,7.942939781938911,31.585515823785148,23.174158552124922,-42.87772906818393,-25.561211602372104
86,86,-1.0535448609082507,13.12158827477924,148.99232399735382,-59.753771505991274,-25.554549117680928
97,97,5.937956780305538,2.9834978857392276,159.26937925100032,-26.434599524342982,-25.536152824772042
100,100,6.159637345066018,0.28405774338759576,1.7840176694889234,-2.788611546730915,-33.36958987715198
101,101,5.855618164897764,-3.315528142443635,7.251098591295481,7.705089148062968,-30.25544249318696
102,102,0.13186122173970372,22.381465551833404,91.73962886138395,-42.71466516840052,-32.12088168838215
106,106,29.046881164455527,6.379944803024528,6.493544642764743,-276.0890552753503,-26.07610409830812
107,107,5.842712873501029,9.185372102884816,126.24538725495248,1.5265090689634704,-25.535237773891275
110,110,0.8641496648935955,-13.032375632736645,57.7105598233065,56.00445374503846,-29.857218153682354
111,111,5.9461126903728445,1.6421519942081013,-2.028150703335937,-0.6273203939760651,-34.109323792002535
117,117,0.10731698097542862,33.171373512021454,3.408086898175226,2.1519370569257332,-35.29263802011196
120,120,6.394261624374051,-0.5051519804892963,-0.12526464191576986,0.9733526578255347,-37.549646352630305
124,124,6.363890670233102,-0.9345130916338297,1.0717075093769055,1.2708529690789043,-37.62512973469174
126,126,0.05448012487715463,25.45281877668122,-8.690718238465006,-22.87844945172897,-39.14830499681943
127,127,16.558998461073916,-43.1749284414304,72.70091920968957,120.68032047140423,-25.696325559682798
131,131,6.229680242531204,-0.5275847977550978,1.1523471269739494,0.7190613594966272,-34.650227389337445
132,132,0.4850024414438946,22.501277760785634,51.79663786852513,-54.79937533903199,-28.651724711353637
134,134,6.708846019247346,10.52704937072512,-40.64051529293441,112.52380433130226,-25.5616272045247
